STATION,NAME,DATE,TMAX,TMIN
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/9/10,29,10
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/10/10,26,10
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/11/10,32,9
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/12/10,34,0
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/13/10,31,11
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/14/10,33,5
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/15/10,29,20
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/16/10,27,20
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/17/10,29,19
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/18/10,33,20
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/19/10,44,7
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/20/10,45,29
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/21/10,48,34
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/22/10,37,32
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/23/10,32,24
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/24/10,27,21
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/25/10,32,19
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/26/10,36,19
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/27/10,33,24
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",2/28/10,39,30
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/1/10,39,30
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/2/10,42,29
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/3/10,38,28
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/4/10,47,21
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/5/10,49,20
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/6/10,50,18
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/7/10,59,21
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/8/10,62,27
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/9/10,61,31
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/10/10,73,50
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/11/10,65,52
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/12/10,53,40
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/13/10,46,42
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/14/10,46,39
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/15/10,48,41
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/16/10,62,42
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/17/10,65,32
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/18/10,66,30
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/19/10,67,31
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/20/10,68,37
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/21/10,57,43
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/22/10,45,39
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/23/10,60,32
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/24/10,68,35
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/25/10,56,37
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/26/10,49,30
