STATION,NAME,DATE,TMAX,TMIN
USW00013958,"AUSTIN CAMP MABRY, TX US",1/17/14,64,43
USW00013958,"AUSTIN CAMP MABRY, TX US",1/18/14,70,37
USW00013958,"AUSTIN CAMP MABRY, TX US",1/19/14,72,45
USW00013958,"AUSTIN CAMP MABRY, TX US",1/20/14,82,46
USW00013958,"AUSTIN CAMP MABRY, TX US",1/21/14,63,38
USW00013958,"AUSTIN CAMP MABRY, TX US",1/22/14,70,37
USW00013958,"AUSTIN CAMP MABRY, TX US",1/23/14,56,27
USW00013958,"AUSTIN CAMP MABRY, TX US",1/24/14,40,26
USW00013958,"AUSTIN CAMP MABRY, TX US",1/25/14,70,26
USW00013958,"AUSTIN CAMP MABRY, TX US",1/26/14,76,43
USW00013958,"AUSTIN CAMP MABRY, TX US",1/27/14,60,34
USW00013958,"AUSTIN CAMP MABRY, TX US",1/28/14,39,27
USW00013958,"AUSTIN CAMP MABRY, TX US",1/29/14,49,27
USW00013958,"AUSTIN CAMP MABRY, TX US",1/30/14,65,31
USW00013958,"AUSTIN CAMP MABRY, TX US",1/31/14,80,55
USW00013958,"AUSTIN CAMP MABRY, TX US",2/1/14,76,55
USW00013958,"AUSTIN CAMP MABRY, TX US",2/2/14,55,35
USW00013958,"AUSTIN CAMP MABRY, TX US",2/3/14,46,34
USW00013958,"AUSTIN CAMP MABRY, TX US",2/4/14,64,42
USW00013958,"AUSTIN CAMP MABRY, TX US",2/5/14,48,31
USW00013958,"AUSTIN CAMP MABRY, TX US",2/6/14,32,26
USW00013958,"AUSTIN CAMP MABRY, TX US",2/7/14,38,29
USW00013958,"AUSTIN CAMP MABRY, TX US",2/8/14,65,37
USW00013958,"AUSTIN CAMP MABRY, TX US",2/9/14,76,41
USW00013958,"AUSTIN CAMP MABRY, TX US",2/10/14,60,35
USW00013958,"AUSTIN CAMP MABRY, TX US",2/11/14,36,33
USW00013958,"AUSTIN CAMP MABRY, TX US",2/12/14,57,33
USW00013958,"AUSTIN CAMP MABRY, TX US",2/13/14,69,32
USW00013958,"AUSTIN CAMP MABRY, TX US",2/14/14,86,47
USW00013958,"AUSTIN CAMP MABRY, TX US",2/15/14,76,42
USW00013958,"AUSTIN CAMP MABRY, TX US",2/16/14,76,59
USW00013958,"AUSTIN CAMP MABRY, TX US",2/17/14,81,58
USW00013958,"AUSTIN CAMP MABRY, TX US",2/18/14,82,55
USW00013958,"AUSTIN CAMP MABRY, TX US",2/19/14,82,63
USW00013958,"AUSTIN CAMP MABRY, TX US",2/20/14,83,57
USW00013958,"AUSTIN CAMP MABRY, TX US",2/21/14,72,41
USW00013958,"AUSTIN CAMP MABRY, TX US",2/22/14,77,48
USW00013958,"AUSTIN CAMP MABRY, TX US",2/23/14,86,62
USW00013958,"AUSTIN CAMP MABRY, TX US",2/24/14,76,55
USW00013958,"AUSTIN CAMP MABRY, TX US",2/25/14,71,52
USW00013958,"AUSTIN CAMP MABRY, TX US",2/26/14,52,36
USW00013958,"AUSTIN CAMP MABRY, TX US",2/27/14,59,31
USW00013958,"AUSTIN CAMP MABRY, TX US",2/28/14,80,44
USW00013958,"AUSTIN CAMP MABRY, TX US",3/1/14,82,53
USW00013958,"AUSTIN CAMP MABRY, TX US",3/2/14,73,28
USW00013958,"AUSTIN CAMP MABRY, TX US",3/3/14,47,24
USW00013958,"AUSTIN CAMP MABRY, TX US",3/4/14,50,30
USW00013958,"AUSTIN CAMP MABRY, TX US",3/5/14,53,38
USW00013958,"AUSTIN CAMP MABRY, TX US",3/6/14,65,43
USW00013958,"AUSTIN CAMP MABRY, TX US",3/7/14,67,39
USW00013958,"AUSTIN CAMP MABRY, TX US",3/8/14,59,44
USW00013958,"AUSTIN CAMP MABRY, TX US",3/9/14,58,39
USW00013958,"AUSTIN CAMP MABRY, TX US",3/10/14,71,50
USW00013958,"AUSTIN CAMP MABRY, TX US",3/11/14,83,56
USW00013958,"AUSTIN CAMP MABRY, TX US",3/12/14,70,49
USW00013958,"AUSTIN CAMP MABRY, TX US",3/13/14,68,37
USW00013958,"AUSTIN CAMP MABRY, TX US",3/14/14,75,49
USW00013958,"AUSTIN CAMP MABRY, TX US",3/15/14,74,62
USW00013958,"AUSTIN CAMP MABRY, TX US",3/16/14,64,48
USW00013958,"AUSTIN CAMP MABRY, TX US",3/17/14,68,41
USW00013958,"AUSTIN CAMP MABRY, TX US",3/18/14,83,47
USW00013958,"AUSTIN CAMP MABRY, TX US",3/19/14,72,51
USW00013958,"AUSTIN CAMP MABRY, TX US",3/20/14,76,42
USW00013958,"AUSTIN CAMP MABRY, TX US",3/21/14,80,54
USW00013958,"AUSTIN CAMP MABRY, TX US",3/22/14,77,61
USW00013958,"AUSTIN CAMP MABRY, TX US",3/23/14,61,47
USW00013958,"AUSTIN CAMP MABRY, TX US",3/24/14,66,50
USW00013958,"AUSTIN CAMP MABRY, TX US",3/25/14,69,44
USW00013958,"AUSTIN CAMP MABRY, TX US",3/26/14,66,54
USW00013958,"AUSTIN CAMP MABRY, TX US",3/27/14,82,61
USW00013958,"AUSTIN CAMP MABRY, TX US",3/28/14,89,63
USW00013958,"AUSTIN CAMP MABRY, TX US",3/29/14,77,51
USW00013958,"AUSTIN CAMP MABRY, TX US",3/30/14,79,45
USW00013958,"AUSTIN CAMP MABRY, TX US",3/31/14,85,60
USW00013958,"AUSTIN CAMP MABRY, TX US",4/1/14,86,66
USW00013958,"AUSTIN CAMP MABRY, TX US",4/2/14,82,70
USW00013958,"AUSTIN CAMP MABRY, TX US",4/3/14,82,71
USW00013958,"AUSTIN CAMP MABRY, TX US",4/4/14,74,54
USW00013958,"AUSTIN CAMP MABRY, TX US",4/5/14,65,54
USW00013958,"AUSTIN CAMP MABRY, TX US",4/6/14,61,52
USW00013958,"AUSTIN CAMP MABRY, TX US",4/7/14,72,52
USW00013958,"AUSTIN CAMP MABRY, TX US",4/8/14,77,50
USW00013958,"AUSTIN CAMP MABRY, TX US",4/9/14,84,45
USW00013958,"AUSTIN CAMP MABRY, TX US",4/10/14,87,57
USW00013958,"AUSTIN CAMP MABRY, TX US",4/11/14,85,61
USW00013958,"AUSTIN CAMP MABRY, TX US",4/12/14,85,65
USW00013958,"AUSTIN CAMP MABRY, TX US",4/13/14,78,68
USW00013958,"AUSTIN CAMP MABRY, TX US",4/14/14,73,43
USW00013958,"AUSTIN CAMP MABRY, TX US",4/15/14,65,39
USW00013958,"AUSTIN CAMP MABRY, TX US",4/16/14,73,40
USW00013958,"AUSTIN CAMP MABRY, TX US",4/17/14,67,56
USW00013958,"AUSTIN CAMP MABRY, TX US",4/18/14,78,59
USW00013958,"AUSTIN CAMP MABRY, TX US",4/19/14,78,54
USW00013958,"AUSTIN CAMP MABRY, TX US",4/20/14,75,61
USW00013958,"AUSTIN CAMP MABRY, TX US",4/21/14,84,64
USW00013958,"AUSTIN CAMP MABRY, TX US",4/22/14,87,63
USW00013958,"AUSTIN CAMP MABRY, TX US",4/23/14,87,59
USW00013958,"AUSTIN CAMP MABRY, TX US",4/24/14,88,67
USW00013958,"AUSTIN CAMP MABRY, TX US",4/25/14,88,63
