Series ID,Year,Period,Value
LAUMT181402000000003,2022,4,2.1
LAUMT181402000000003,2022,5,2.8
LAUMT181402000000003,2022,6,3.5
LAUMT181402000000003,2022,7,3.8
LAUMT181402000000003,2022,8,3.1
LAUMT181402000000003,2022,9,2.3
LAUMT181402000000003,2022,10,3.1
LAUMT181402000000003,2022,11,2.9
LAUMT181402000000003,2022,12,2.3
LAUMT181402000000003,2023,1,3.3
LAUMT181402000000003,2023,2,3.6
LAUMT181402000000003,2023,3,3.4
LAUMT181402000000003,2023,4,2.5
LAUMT181402000000003,2023,5,3.5
LAUMT181402000000003,2023,6,3.7
LAUMT181402000000003,2023,7,4.1
LAUMT181402000000003,2023,8,3.5
LAUMT181402000000003,2023,9,2.9
LAUMT181402000000003,2023,10,3.2
LAUMT181402000000003,2023,11,3.3
LAUMT181402000000003,2023,12,2.6
LAUMT181402000000003,2024,1,3.8
LAUMT181402000000003,2024,2,4.4
LAUMT181402000000003,2024,3,4.4
