,DateTime,Adopt,Euth,RTO,Unintended,Other,TotalOutcomes
150,2014-02-28,10,2,4,0,3,19
151,2014-03-01,18,0,6,0,5,29
152,2014-03-02,14,3,8,1,7,33
153,2014-03-03,6,2,4,0,11,23
154,2014-03-04,13,0,6,0,5,24
155,2014-03-05,11,1,6,0,1,19
156,2014-03-06,9,0,7,0,2,18
157,2014-03-07,9,5,10,0,5,29
158,2014-03-08,19,2,10,0,4,35
159,2014-03-09,18,1,7,0,9,35
160,2014-03-10,13,2,9,1,7,32
161,2014-03-11,11,4,7,0,6,28
162,2014-03-12,6,2,6,0,3,17
163,2014-03-13,17,1,13,0,16,47
164,2014-03-14,14,1,9,0,13,37
165,2014-03-15,14,2,6,0,10,32
166,2014-03-16,15,2,13,0,11,41
167,2014-03-17,9,2,14,0,11,36
168,2014-03-18,11,1,11,0,8,31
169,2014-03-19,8,4,8,0,2,22
170,2014-03-20,11,3,10,0,4,28
171,2014-03-21,9,4,9,0,8,30
172,2014-03-22,17,1,11,0,4,33
173,2014-03-23,19,0,11,0,17,47
174,2014-03-24,6,3,5,0,3,17
175,2014-03-25,11,2,9,0,2,24
176,2014-03-26,8,2,7,0,4,21
177,2014-03-27,7,4,12,0,5,28
178,2014-03-28,9,1,7,0,4,21
179,2014-03-29,18,0,8,0,6,32
180,2014-03-30,31,1,12,0,7,51
181,2014-03-31,8,3,4,0,2,17
182,2014-04-01,3,4,14,0,3,24
183,2014-04-02,7,1,13,0,4,25
184,2014-04-03,16,2,8,0,15,41
185,2014-04-04,6,0,13,0,2,21
186,2014-04-05,18,3,10,1,12,44
187,2014-04-06,19,0,14,0,3,36
188,2014-04-07,10,1,10,1,6,28
189,2014-04-08,12,1,9,0,4,26
190,2014-04-09,9,0,12,0,8,29
191,2014-04-10,13,4,5,0,6,28
192,2014-04-11,8,0,6,0,4,18
193,2014-04-12,12,0,8,0,3,23
194,2014-04-13,12,0,8,0,4,24
195,2014-04-14,4,3,6,0,6,19
196,2014-04-15,6,0,11,0,12,29
197,2014-04-16,8,0,15,0,16,39
198,2014-04-17,7,5,9,0,14,35
199,2014-04-18,7,0,5,0,19,31
200,2014-04-19,29,0,8,0,3,40
201,2014-04-20,17,0,9,0,5,31
202,2014-04-21,13,1,4,0,3,21
203,2014-04-22,9,0,8,0,2,19
204,2014-04-23,8,3,12,0,7,30
205,2014-04-24,12,0,12,0,6,30
206,2014-04-25,9,1,11,0,9,30
207,2014-04-26,13,1,6,1,8,29
208,2014-04-27,12,1,6,0,1,20
209,2014-04-28,9,1,10,1,4,25
210,2014-04-29,10,1,7,0,0,18
211,2014-04-30,13,1,9,0,11,34
212,2014-05-01,8,4,13,0,2,27
213,2014-05-02,4,0,6,0,4,14
214,2014-05-03,17,0,5,0,4,26
215,2014-05-04,28,5,14,0,4,51
216,2014-05-05,16,3,8,0,3,30
217,2014-05-06,6,1,9,1,7,24
218,2014-05-07,8,0,2,0,8,18
219,2014-05-08,5,3,6,0,4,18
220,2014-05-09,7,3,11,0,11,32
221,2014-05-10,16,1,9,0,4,30
222,2014-05-11,11,1,11,0,12,35
223,2014-05-12,5,0,10,0,3,18
224,2014-05-13,11,0,14,0,8,33
225,2014-05-14,13,8,9,0,9,39
226,2014-05-15,3,3,10,0,8,24
227,2014-05-16,6,1,10,0,11,28
228,2014-05-17,15,2,7,0,6,30
229,2014-05-18,13,2,10,0,5,30
230,2014-05-19,14,1,9,0,3,27
231,2014-05-20,10,0,9,1,5,25
232,2014-05-21,13,0,5,0,7,25
233,2014-05-22,8,5,8,2,5,28
234,2014-05-23,18,1,7,0,7,33
235,2014-05-24,10,3,6,2,18,39
236,2014-05-25,10,0,5,0,11,26
237,2014-05-26,21,1,14,0,10,46
238,2014-05-27,12,1,13,0,4,30
239,2014-05-28,6,2,11,0,4,23
240,2014-05-29,11,2,9,0,2,24
241,2014-05-30,8,1,13,0,12,34
242,2014-05-31,21,0,6,0,25,52
243,2014-06-01,20,0,10,0,8,38
244,2014-06-02,14,2,7,0,2,25
245,2014-06-03,19,3,11,0,12,45
246,2014-06-04,4,0,8,0,7,19
247,2014-06-05,7,0,4,0,5,16
248,2014-06-06,10,1,11,0,10,32
249,2014-06-07,18,3,6,0,12,39
250,2014-06-08,14,0,7,0,1,22
251,2014-06-09,13,4,10,0,3,30
252,2014-06-10,7,1,9,0,8,25
253,2014-06-11,7,2,2,0,6,17
254,2014-06-12,5,1,4,0,3,13
255,2014-06-13,8,1,8,0,3,20
256,2014-06-14,15,2,14,0,0,31
257,2014-06-15,19,1,7,0,9,36
258,2014-06-16,14,2,4,0,9,29
259,2014-06-17,12,5,12,0,16,45
260,2014-06-18,13,1,4,0,3,21
261,2014-06-19,10,4,9,0,19,42
262,2014-06-20,9,0,4,0,7,20
263,2014-06-21,16,0,11,0,3,30
264,2014-06-22,17,4,2,0,12,35
265,2014-06-23,7,1,4,1,4,17
266,2014-06-24,6,2,9,0,6,23
267,2014-06-25,8,1,5,0,3,17
268,2014-06-26,7,4,10,0,30,51
269,2014-06-27,6,2,9,1,1,19
270,2014-06-28,13,1,7,0,8,29
271,2014-06-29,23,1,3,0,8,35
272,2014-06-30,13,1,14,0,5,33
273,2014-07-01,24,2,7,0,7,40
274,2014-07-02,14,3,15,0,6,38
275,2014-07-03,9,1,5,0,5,20
276,2014-07-04,9,0,5,0,19,33
277,2014-07-05,15,1,10,0,13,39
278,2014-07-06,19,2,15,0,1,37
279,2014-07-07,24,2,16,0,2,44
280,2014-07-08,9,4,6,0,2,21
281,2014-07-09,15,0,8,0,4,27
282,2014-07-10,19,4,10,0,6,39
283,2014-07-11,18,2,6,0,7,33
284,2014-07-12,13,2,7,0,4,26
285,2014-07-13,23,1,5,0,2,31
286,2014-07-14,14,0,3,0,5,22
287,2014-07-15,13,0,5,0,6,24
288,2014-07-16,13,3,5,0,13,34
289,2014-07-17,19,3,3,0,6,31
290,2014-07-18,11,2,9,0,10,32
291,2014-07-19,22,1,5,1,2,31
292,2014-07-20,7,1,1,0,5,14
293,2014-07-21,10,4,15,0,21,50
294,2014-07-22,16,0,6,1,2,25
295,2014-07-23,17,16,9,0,12,54
296,2014-07-24,11,1,7,0,7,26
297,2014-07-25,10,2,11,0,3,26
298,2014-07-26,14,0,7,0,2,23
299,2014-07-27,18,2,9,0,11,40
300,2014-07-28,5,1,8,0,3,17
301,2014-07-29,19,2,6,0,2,29
302,2014-07-30,11,4,11,0,9,35
303,2014-07-31,5,1,8,0,4,18
304,2014-08-01,21,1,8,0,4,34
305,2014-08-02,17,1,5,1,8,32
306,2014-08-03,22,0,5,0,8,35
307,2014-08-04,18,2,11,0,7,38
308,2014-08-05,10,1,10,1,3,25
309,2014-08-06,14,4,13,0,5,36
310,2014-08-07,11,0,16,1,3,31
311,2014-08-08,10,2,6,0,0,18
312,2014-08-09,13,1,8,0,5,27
313,2014-08-10,25,0,11,0,5,41
314,2014-08-11,16,1,6,0,6,29
315,2014-08-12,11,3,4,0,4,22
316,2014-08-13,25,4,6,0,2,37
317,2014-08-14,6,1,4,0,13,24
318,2014-08-15,4,0,7,0,4,15
319,2014-08-16,15,1,8,0,4,28
320,2014-08-17,27,1,4,0,3,35
321,2014-08-18,17,2,7,0,9,35
322,2014-08-19,22,1,3,0,6,32
323,2014-08-20,13,3,8,0,11,35
324,2014-08-21,15,1,5,0,16,37
325,2014-08-22,16,0,9,0,1,26
326,2014-08-23,17,0,8,0,5,30
327,2014-08-24,17,0,9,0,2,28
328,2014-08-25,17,1,4,0,0,22
329,2014-08-26,10,0,4,0,0,14
330,2014-08-27,9,3,8,0,6,26
331,2014-08-28,11,1,5,0,5,22
332,2014-08-29,11,6,7,0,9,33
333,2014-08-30,28,1,11,0,4,44
334,2014-08-31,18,1,8,0,6,33
335,2014-09-01,14,4,6,0,4,28
336,2014-09-02,14,0,5,0,6,25
337,2014-09-03,9,2,10,0,15,36
338,2014-09-04,10,1,11,0,6,28
339,2014-09-05,11,2,7,0,6,26
340,2014-09-06,12,0,10,0,14,36
341,2014-09-07,21,1,4,0,9,35
342,2014-09-08,17,3,9,0,9,38
343,2014-09-09,14,3,5,0,10,32
344,2014-09-10,14,2,10,0,1,27
345,2014-09-11,11,0,7,0,1,19
346,2014-09-12,15,0,8,0,1,24
347,2014-09-13,18,0,13,0,8,39
348,2014-09-14,16,3,11,0,11,41
349,2014-09-15,3,1,10,0,9,23
350,2014-09-16,6,2,8,0,8,24
351,2014-09-17,13,1,3,0,4,21
352,2014-09-18,8,2,7,0,1,18
353,2014-09-19,6,4,13,0,5,28
354,2014-09-20,22,0,15,0,7,44
355,2014-09-21,18,3,4,0,8,33
356,2014-09-22,13,0,14,0,6,33
357,2014-09-23,9,0,7,0,8,24
358,2014-09-24,14,2,11,0,1,28
359,2014-09-25,4,0,5,0,3,12
360,2014-09-26,7,4,11,0,14,36
361,2014-09-27,30,0,8,0,6,44
362,2014-09-28,10,0,9,0,3,22
363,2014-09-29,15,5,7,1,16,44
364,2014-09-30,5,1,5,0,8,19
365,2014-10-01,5,2,3,0,10,20
366,2014-10-02,3,2,5,0,17,27
367,2014-10-03,9,0,6,0,4,19
368,2014-10-04,9,2,11,0,10,32
369,2014-10-05,14,0,6,0,1,21
370,2014-10-06,7,1,10,0,8,26
371,2014-10-07,9,1,4,0,4,18
372,2014-10-08,11,3,6,0,8,28
373,2014-10-09,8,6,16,0,7,37
374,2014-10-10,20,4,2,0,6,32
375,2014-10-11,18,1,4,0,5,28
376,2014-10-12,26,1,6,0,4,37
377,2014-10-13,14,2,8,0,7,31
378,2014-10-14,11,6,11,0,5,33
379,2014-10-15,3,0,8,0,1,12
380,2014-10-16,4,2,8,0,13,27
381,2014-10-17,6,1,9,0,5,21
382,2014-10-18,25,1,8,0,5,39
383,2014-10-19,28,2,1,0,6,37
384,2014-10-20,21,0,13,0,6,40
385,2014-10-21,7,4,4,0,5,20
386,2014-10-22,13,3,5,0,12,33
387,2014-10-23,13,2,11,0,5,31
388,2014-10-24,6,6,10,0,4,26
389,2014-10-25,15,1,9,0,9,34
390,2014-10-26,18,4,10,0,7,39
391,2014-10-27,6,1,4,0,14,25
392,2014-10-28,3,1,6,0,0,10
393,2014-10-29,7,1,14,0,4,26
394,2014-10-30,10,3,5,0,12,30
395,2014-10-31,5,2,8,0,1,16
396,2014-11-01,10,3,5,0,2,20
397,2014-11-02,15,1,5,0,14,35
398,2014-11-03,11,2,15,0,5,33
399,2014-11-04,11,5,11,0,12,39
400,2014-11-05,8,1,6,0,5,20
401,2014-11-06,8,2,1,0,2,13
402,2014-11-07,6,2,4,0,23,35
403,2014-11-08,13,1,10,0,4,28
404,2014-11-09,12,0,9,0,9,30
405,2014-11-10,7,5,10,0,0,22
406,2014-11-11,3,2,9,0,13,27
407,2014-11-12,12,3,12,0,9,36
408,2014-11-13,9,1,6,0,5,21
409,2014-11-14,7,2,10,0,3,22
410,2014-11-15,16,4,11,0,19,50
411,2014-11-16,10,0,8,0,4,22
412,2014-11-17,8,3,6,0,2,19
413,2014-11-18,10,1,4,0,12,27
414,2014-11-19,8,1,7,0,2,18
415,2014-11-20,5,8,12,0,4,29
416,2014-11-21,16,2,5,0,13,36
417,2014-11-22,9,2,11,0,5,27
418,2014-11-23,24,1,12,0,12,49
419,2014-11-24,9,2,9,0,10,30
420,2014-11-25,9,2,8,0,7,26
421,2014-11-26,16,0,8,0,4,28
422,2014-11-27,2,1,2,0,4,9
423,2014-11-28,13,2,11,0,4,30
424,2014-11-29,23,0,6,0,14,43
425,2014-11-30,18,1,9,0,8,36
426,2014-12-01,11,2,11,0,6,30
427,2014-12-02,14,2,10,0,0,26
428,2014-12-03,7,1,7,0,5,20
429,2014-12-04,7,2,8,1,42,60
430,2014-12-05,18,2,11,0,16,47
431,2014-12-06,36,1,4,0,2,43
