iter	RMSE
0	0.4903776256
1	0.4844387322
2	0.4788055665
3	0.4736627888
4	0.4690015774
5	0.465477752
6	0.4615289484
7	0.4578545976
8	0.4544267462
9	0.4514012503
10	0.4487795144
11	0.4464464618
12	0.444121535
13	0.4420452937
14	0.4398765275
15	0.4378121918
16	0.4358625181
17	0.4343239369
18	0.4328108663
19	0.4314839286
20	0.4302780443
21	0.4290091308
22	0.4278237881
23	0.426360164
24	0.4250595277
25	0.4238475382
26	0.4228558385
27	0.4217882959
28	0.4210182338
29	0.4199349561
30	0.4190540558
31	0.4183690428
32	0.4176368524
33	0.4168085224
34	0.4158458955
35	0.415111349
36	0.4143699438
37	0.4136064884
38	0.4127349449
39	0.4122330611
40	0.4114935901
41	0.4110971044
42	0.4107106226
43	0.4102685462
44	0.4098388367
45	0.4092529509
46	0.4090207576
47	0.4084797539
48	0.4081710491
49	0.4077488379
50	0.4073181732
51	0.4069500435
52	0.4066491749
53	0.4063875051
54	0.4060976061
55	0.4059299323
56	0.405469741
57	0.4051918529
58	0.4050535713
59	0.404659397
60	0.4043018566
61	0.4039284937
62	0.4036019298
63	0.4033266956
64	0.403115485
65	0.4027999974
66	0.4024283901
67	0.4021052515
68	0.4017833872
69	0.4016453455
70	0.4014950846
71	0.4012184266
72	0.4010586478
73	0.4008462259
74	0.400339987
75	0.4001688216
76	0.3999093867
77	0.3997798048
78	0.3993776919
79	0.3992505135
80	0.3990773618
81	0.3989448653
82	0.3987450364
83	0.3985409957
84	0.3982686461
85	0.3981293702
86	0.3978624302
87	0.3976543893
88	0.3973064383
89	0.3969857205
90	0.3968059119
91	0.3966719851
92	0.3964021215
93	0.3961488941
94	0.3961046541
95	0.3959582302
96	0.3957848634
97	0.3955344897
98	0.3954754411
99	0.3954062416
100	0.3951877735
101	0.394939028
102	0.394782196
103	0.3946250976
104	0.3944535948
105	0.3942009006
106	0.3940818175
107	0.3939248421
108	0.393866184
109	0.393815527
110	0.3937540764
111	0.3936045221
112	0.3934915241
113	0.3933548424
114	0.393092303
115	0.3929747743
116	0.3926906103
117	0.3924632755
118	0.3922364506
119	0.392126147
120	0.3918930534
121	0.3918110473
122	0.3916200258
123	0.3915801003
124	0.3915508826
125	0.3915050162
126	0.3914500627
127	0.3913399303
128	0.3911499899
129	0.3909663198
130	0.3908586931
131	0.3906800445
132	0.3905205574
133	0.3903416696
134	0.3903055696
135	0.390232461
136	0.3901885085
137	0.390088141
138	0.389954031
139	0.3898511665
140	0.3898036469
141	0.3897524317
142	0.3896843613
143	0.3895695537
144	0.3895102617
145	0.3893779846
146	0.3892932285
147	0.389254148
148	0.3891604413
149	0.3890018657
150	0.3888990371
151	0.3887727301
152	0.3885944825
153	0.3885252382
154	0.3884019038
155	0.3881725348
156	0.3880606443
157	0.3880459101
158	0.3880149086
159	0.3878393417
160	0.3877968911
161	0.3876906437
162	0.3876132264
163	0.3875468561
164	0.38748519
165	0.3872389992
166	0.3871663943
167	0.3871542505
168	0.3871005838
169	0.3869996633
170	0.3868272064
171	0.3866129269
172	0.3865315598
173	0.3864193498
174	0.3863827294
175	0.3863044377
176	0.3862693168
177	0.3862363603
178	0.3860992874
179	0.386027378
180	0.385970452
181	0.3857829269
182	0.385686505
183	0.3855644225
184	0.3854714647
185	0.3852892327
186	0.385231417
187	0.3849359661
188	0.3848542572
189	0.384730699
190	0.3845186621
191	0.3843584718
192	0.3842427484
193	0.3841649336
194	0.3840306741
195	0.3838052277
196	0.38366123
197	0.3835899764
198	0.3834617117
199	0.3833728547
200	0.3832249114
201	0.3831723568
202	0.3829875927
203	0.3828937191
204	0.3827534569
205	0.3826100534
206	0.3825075949
207	0.382455102
208	0.3823771773
209	0.3822802782
210	0.3821928734
211	0.3820841728
212	0.3819270552
213	0.3817585649
214	0.3816896051
215	0.3815578032
216	0.3815252257
217	0.381478592
218	0.3814285511
219	0.3813977683
220	0.3813156062
221	0.3812510597
222	0.381244716
223	0.381193224
224	0.3810715218
225	0.3808926934
226	0.380831202
227	0.3807431173
228	0.3806154416
229	0.3805285342
230	0.3804354266
231	0.3803159668
232	0.3802799538
233	0.3801338771
234	0.3800082729
235	0.3799575245
236	0.3799232404
237	0.3798610525
238	0.3797865471
239	0.3796353591
240	0.3795937599
241	0.3795744989
242	0.3795527985
243	0.3795508095
244	0.37944083
245	0.3793289262
246	0.3792041769
247	0.379154557
248	0.37899446
249	0.3789041533
250	0.3786790837
251	0.3786742009
252	0.3785549162
253	0.3784805662
254	0.3783616591
255	0.3782797308
256	0.3782491215
257	0.3782203345
258	0.3781545546
259	0.378090894
260	0.3780379472
261	0.3779598062
262	0.3779562271
263	0.3779081416
264	0.3778997617
265	0.3777685502
