,state,year,organizations,intake_relinquished_by_owner_total_canine,intake_stray_at_large_total_canine,intake_transferred_in_total_canine,intake_owner_intended_euthanasia_total_canine,intakes_other_intakes_total_canine,live_outcome_adoption_total_canine,live_outcome_returned_to_owner_total_canine,live_outcome_returned_to_field_total_canine,live_outcome_transferred_out_total_canine,live_outcome_other_live_outcome_total_canine,other_outcome_died_in_care_total_canine,other_outcome_lost_in_care_total_canine,other_outcome_owner_intended_euthanasia_total_canine,other_outcome_shelter_euthanasia_total_canine,intake_total,outcome_total,diff,ratio
47,KS,2023,22,4203,5617,5308,429,390,10202,2620,0,1283,37,111,3,412,1128,15947,15796,-151,1.0095593821220563
48,KY,2021,21,6259,7961,2709,179,873,7542,3239,0,5001,0,154,5,145,1143,17981,17229,-752,1.0436473387892506
49,KY,2022,21,6086,8471,2694,191,980,8368,3094,1,4485,11,186,5,112,1404,18422,17666,-756,1.042794067700668
50,KY,2023,21,6431,9082,1726,190,812,8451,3115,0,4242,34,155,4,118,1835,18241,17954,-287,1.0159852957558204
51,LA,2021,21,4434,10264,1527,433,588,5178,2640,5,6510,39,255,15,334,1958,17246,16934,-312,1.0184244714775008
52,LA,2022,21,4148,11650,1172,508,500,5655,2633,50,5913,52,179,16,396,2863,17978,17757,-221,1.0124457960241031
53,LA,2023,21,3527,11090,1069,543,574,5945,2620,28,4666,39,189,22,454,3444,16803,17407,604,0.9653013155627047
54,MA,2021,23,1309,515,3656,485,1064,5640,264,0,257,1,12,0,461,248,7029,6883,-146,1.0212116809530727
55,MA,2022,23,1485,479,3845,577,785,5460,290,1,187,1,11,1,539,259,7171,6749,-422,1.0625277818936139
56,MA,2023,23,1760,520,3792,489,719,5505,327,3,186,2,15,1,453,287,7280,6779,-501,1.0739047057088067
57,MD,2021,17,3911,3202,482,492,1228,4792,2087,0,981,10,63,1,482,849,9315,9265,-50,1.0053966540744739
58,MD,2022,17,4369,4356,478,644,1355,5794,2410,0,1049,6,76,2,587,1080,11202,11004,-198,1.0179934569247546
59,MD,2023,17,4789,5079,437,761,1621,6444,2523,0,1305,15,50,1,721,1560,12687,12619,-68,1.0053886995799983
60,ME,2021,5,602,545,1339,51,35,2010,596,0,24,18,4,1,37,63,2572,2753,181,0.9342535415909916
61,ME,2022,5,831,633,1684,42,101,2459,558,0,117,8,2,0,49,98,3291,3291,0,1.0
62,ME,2023,5,778,666,947,41,84,1791,594,0,47,7,8,0,34,87,2516,2568,52,0.9797507788161994
63,MI,2021,29,5056,8388,6718,1550,1058,13383,3376,0,1220,14,138,18,1547,1631,22770,21327,-1443,1.067660711773808
64,MI,2022,29,5124,10377,5097,1403,1118,13037,3537,13,1473,9,118,25,1406,2330,23119,21948,-1171,1.0533533807180608
65,MI,2023,29,4901,11925,3912,1306,1149,12438,4087,0,1802,13,112,49,1293,3327,23193,23121,-72,1.0031140521603736
66,MN,2021,30,3040,1738,7137,920,632,10514,1596,1,505,1,49,5,941,519,13467,14131,664,0.9530111103248178
67,MN,2022,30,3114,2238,6296,800,680,9117,1811,0,652,87,48,6,801,778,13128,13300,172,0.9870676691729323
68,MN,2023,30,3227,2626,4798,811,511,8572,2046,0,707,1,37,3,801,969,11973,13136,1163,0.9114646772228989
69,MO,2021,22,4449,4659,1303,14,1158,9435,3065,12,1109,2107,212,7,95,563,11583,16605,5022,0.697560975609756
70,MO,2022,22,4618,5448,926,13,1251,9657,3839,23,1098,32,195,4,66,970,12256,15884,3628,0.7715940569126165
71,MO,2023,22,3859,5511,861,201,1151,9810,3862,74,709,2,215,4,16,1388,11583,16080,4497,0.7203358208955224
72,MS,2021,9,4330,6057,9051,117,122,5702,1324,13,11975,1,207,25,118,407,19677,19772,95,0.9951952255715153
73,MS,2022,9,3399,5168,2555,104,1051,5525,1169,17,4732,7,187,18,107,568,12277,12330,53,0.9957015409570155
74,MS,2023,9,2437,5375,1878,153,451,4702,918,14,3542,5,204,18,209,785,10294,10397,103,0.9900932961431183
75,MT,2021,17,2419,4033,1073,148,828,4023,3499,0,817,195,33,4,50,240,8501,8861,360,0.9593725313170071
76,MT,2022,17,2885,4292,880,66,934,4608,3132,0,712,304,28,13,56,239,9057,9092,35,0.9961504619445667
77,MT,2023,17,3186,5380,933,110,1276,5423,3639,2,755,800,34,17,86,362,10885,11118,233,0.9790429933441266
78,NC,2021,44,9059,11329,9919,469,2138,18082,5402,6,5097,22,253,26,385,3106,32914,32379,-535,1.0165230550665554
