iter	Passed	Remaining
0	20	20349
1	31	15613
2	39	12964
3	46	11459
4	52	10485
5	59	9849
6	70	9939
7	72	8976
8	79	8805
9	89	8812
10	97	8772
11	104	8583
12	111	8494
13	121	8578
14	132	8693
15	139	8603
16	149	8615
17	155	8499
18	159	8220
19	165	8103
20	171	8007
21	179	7995
22	188	8009
23	197	8026
24	204	7959
25	213	8014
26	251	9071
27	261	9084
28	271	9075
29	295	9566
30	309	9688
31	316	9578
32	321	9435
33	330	9392
34	339	9356
35	348	9326
36	355	9258
37	363	9194
38	371	9159
39	378	9078
40	386	9032
41	394	9002
42	403	8973
43	411	8935
44	418	8884
45	421	8738
46	428	8698
47	435	8639
48	443	8599
49	449	8531
50	455	8478
51	462	8440
52	474	8473
53	485	8513
54	496	8531
55	504	8497
56	510	8450
57	518	8417
58	525	8378
59	532	8346
60	539	8301
61	544	8236
62	550	8188
63	558	8171
64	564	8124
65	571	8088
66	581	8102
67	592	8119
68	601	8110
69	608	8089
70	618	8091
71	627	8093
72	635	8076
73	646	8085
74	656	8094
75	666	8097
76	675	8101
77	685	8104
78	692	8072
79	702	8073
80	706	8011
81	727	8147
82	743	8219
83	751	8191
84	756	8138
85	764	8120
86	770	8087
87	775	8039
88	782	8006
89	789	7981
90	797	7970
91	805	7949
92	812	7926
93	822	7927
94	830	7907
95	835	7872
96	844	7861
97	852	7849
98	861	7842
99	868	7820
100	876	7798
101	884	7783
102	890	7758
103	899	7751
104	906	7727
105	914	7711
106	922	7697
107	930	7685
108	937	7665
109	944	7641
110	951	7620
111	959	7605
112	969	7612
113	978	7607
114	987	7600
115	994	7580
116	1000	7554
117	1006	7524
118	1012	7496
119	1018	7467
120	1026	7457
121	1032	7433
122	1038	7405
123	1049	7417
124	1058	7408
125	1066	7394
126	1092	7512
127	1102	7510
128	1113	7519
129	1119	7490
130	1126	7471
131	1137	7479
132	1144	7463
133	1153	7452
134	1160	7433
135	1168	7422
136	1177	7417
137	1184	7396
138	1192	7387
139	1203	7394
140	1220	7436
141	1227	7419
142	1233	7393
143	1258	7479
144	1277	7532
145	1288	7539
146	1328	7709
147	1341	7721
148	1347	7698
149	1354	7677
150	1364	7669
151	1374	7670
152	1382	7654
153	1390	7639
154	1399	7630
155	1408	7622
156	1417	7611
157	1426	7603
158	1434	7589
159	1441	7568
160	1447	7542
161	1453	7520
162	1461	7505
163	1470	7497
164	1480	7494
165	1492	7497
166	1504	7504
167	1510	7481
168	1519	7472
169	1530	7471
170	1540	7470
171	1549	7460
172	1558	7449
173	1572	7466
174	1582	7459
175	1587	7434
176	1593	7411
177	1600	7391
178	1607	7375
179	1615	7360
180	1623	7347
181	1634	7347
182	1643	7336
183	1646	7302
184	1655	7291
185	1663	7279
186	1672	7270
187	1680	7260
188	1688	7246
189	1696	7234
190	1706	7226
191	1717	7226
192	1725	7212
193	1731	7192
194	1737	7172
195	1746	7165
196	1756	7158
197	1762	7140
198	1771	7131
199	1777	7111
200	1785	7097
201	1792	7079
