iter	Passed	Remaining
0	17	8835
1	24	6214
2	33	5504
3	39	4959
4	48	4782
5	54	4489
6	61	4354
7	68	4182
8	73	3990
9	80	3920
10	87	3883
11	95	3901
12	127	4778
13	138	4807
14	147	4760
15	154	4681
16	160	4571
17	167	4491
18	176	4471
19	182	4374
20	189	4312
21	200	4345
22	208	4319
23	217	4305
24	223	4251
25	231	4229
26	237	4156
27	247	4178
28	255	4148
29	264	4139
30	269	4070
31	273	4005
32	280	3966
33	285	3911
34	290	3861
35	296	3817
36	302	3783
37	308	3752
38	316	3738
39	324	3737
40	331	3712
41	338	3688
42	348	3705
43	359	3729
44	367	3712
45	375	3710
46	382	3690
47	388	3661
48	395	3636
49	400	3608
50	407	3591
51	412	3555
52	418	3526
53	425	3517
54	431	3493
55	439	3482
56	446	3468
57	455	3468
58	464	3468
59	471	3456
60	480	3456
61	491	3469
62	500	3472
63	507	3454
64	513	3436
65	519	3417
66	527	3410
67	534	3397
68	538	3360
69	551	3385
70	562	3400
71	571	3398
72	581	3402
73	591	3405
74	599	3398
75	606	3385
76	613	3367
77	621	3361
78	626	3338
79	632	3321
80	642	3323
81	649	3309
82	654	3286
83	660	3273
84	668	3261
85	675	3251
86	682	3239
87	690	3233
88	697	3221
89	705	3215
90	712	3201
91	720	3195
92	727	3183
93	739	3194
94	745	3179
95	752	3167
96	757	3146
97	762	3129
98	770	3119
99	778	3112
100	785	3102
101	792	3091
102	795	3067
103	803	3060
104	810	3048
105	814	3026
106	824	3028
107	833	3025
108	839	3010
109	846	3000
110	854	2995
111	862	2988
112	869	2978
113	876	2966
114	881	2951
115	888	2940
116	891	2919
117	900	2915
118	908	2907
119	915	2900
120	924	2895
121	929	2881
122	938	2875
123	949	2878
124	956	2870
125	961	2852
126	968	2844
127	975	2834
128	983	2827
129	990	2819
130	999	2814
131	1005	2803
132	1015	2801
133	1024	2797
134	1032	2792
135	1040	2784
136	1046	2773
137	1054	2767
138	1064	2764
139	1074	2762
140	1083	2759
141	1091	2751
142	1098	2742
143	1105	2732
144	1116	2733
145	1166	2827
146	1174	2819
147	1181	2810
148	1188	2800
149	1195	2790
150	1206	2788
151	1216	2785
152	1225	2779
153	1235	2774
154	1244	2770
155	1253	2765
156	1266	2766
157	1275	2761
158	1288	2762
159	1298	2759
160	1307	2753
161	1316	2747
162	1325	2740
163	1334	2734
164	1342	2725
165	1350	2717
166	1357	2706
167	1365	2698
168	1372	2688
169	1381	2681
170	1386	2667
171	1393	2658
172	1400	2647
173	1407	2636
174	1414	2627
175	1422	2619
176	1433	2615
177	1442	2610
178	1453	2607
179	1465	2606
180	1472	2595
181	1483	2591
182	1492	2586
183	1505	2585
184	1516	2581
185	1526	2577
186	1538	2575
187	1548	2570
188	1556	2560
189	1567	2557
190	1570	2540
191	1581	2537
192	1591	2531
193	1599	2522
194	1608	2516
195	1616	2507
196	1624	2498
197	1634	2492
198	1642	2484
199	1649	2474
200	1657	2465
201	1664	2455
202	1671	2446
203	1680	2438
204	1686	2427
205	1696	2420
206	1702	2410
207	1711	2402
208	1717	2391
209	1726	2384
210	1733	2374
211	1740	2364
212	1748	2355
213	1756	2346
214	1764	2338
215	1771	2329
216	1782	2324
217	1790	2316
218	1798	2307
219	1805	2297
220	1814	2290
221	1822	2282
222	1832	2276
223	1839	2266
224	1849	2260
225	1862	2258
226	1870	2249
227	1880	2243
228	1891	2238
229	1901	2232
230	1911	2225
231	1918	2216
232	1927	2208
233	1933	2198
234	1942	2190
235	1949	2181
236	1958	2173
237	1964	2163
238	1972	2154
239	1980	2145
240	1988	2137
241	1995	2127
242	2006	2122
243	2018	2117
244	2029	2112
245	2041	2108
246	2054	2104
247	2060	2093
248	2065	2082
249	2077	2077
250	2082	2066
251	2091	2058
252	2102	2052
253	2109	2042
254	2116	2033
255	2127	2027
256	2137	2021
257	2179	2044
258	2191	2038
259	2198	2029
260	2207	2021
261	2214	2011
262	2222	2002
263	2229	1992
264	2237	1984
265	2244	1974
266	2252	1965
267	2259	1955
268	2267	1947
269	2275	1937
270	2281	1928
271	2331	1954
272	2353	1956
273	2367	1952
274	2381	1948
275	2391	1941
276	2398	1930
277	2408	1923
278	2415	1913
279	2425	1905
280	2433	1896
281	2441	1887
282	2449	1878
283	2459	1870
284	2468	1862
285	2476	1852
286	2483	1843
287	2490	1833
288	2498	1824
289	2509	1816
290	2515	1806
291	2523	1797
292	2530	1787
293	2538	1778
294	2544	1768
295	2553	1759
296	2560	1750
297	2569	1741
298	2574	1730
299	2580	1720
300	2595	1715
301	2640	1731
302	2652	1724
303	2659	1714
304	2666	1704
305	2674	1695
306	2680	1684
307	2687	1675
308	2693	1664
309	2702	1656
310	2711	1647
311	2719	1638
312	2725	1628
313	2733	1619
314	2739	1608
315	2747	1599
316	2755	1590
317	2762	1581
318	2768	1571
319	2776	1561
320	2785	1553
321	2791	1543
322	2799	1534
323	2808	1525
324	2817	1517
325	2825	1508
326	2836	1500
327	2846	1492
328	2853	1483
329	2860	1473
330	2870	1465
331	2884	1459
332	2894	1451
333	2901	1441
334	2907	1432
335	2915	1423
336	2921	1412
337	2928	1403
338	2937	1395
339	2958	1392
340	2979	1389
341	2992	1382
342	3010	1378
343	3021	1370
344	3032	1362
345	3040	1353
346	3049	1344
347	3057	1335
348	3066	1326
349	3073	1317
350	3081	1308
351	3092	1300
352	3102	1291
353	3113	1283
354	3122	1275
355	3133	1267
356	3146	1260
357	3160	1253
358	3197	1255
359	3211	1248
360	3222	1240
361	3231	1232
362	3240	1223
363	3250	1214
364	3260	1205
365	3270	1197
366	3278	1188
367	3287	1179
368	3297	1170
369	3306	1161
370	3317	1153
371	3327	1144
372	3335	1135
373	3349	1128
374	3360	1120
375	3367	1110
376	3373	1100
377	3382	1091
378	3388	1081
379	3399	1073
380	3411	1065
381	3418	1055
382	3429	1047
383	3436	1038
384	3446	1029
385	3468	1024
386	3496	1020
387	3511	1013
388	3523	1005
389	3594	1013
390	3703	1032
391	3842	1058
392	3962	1078
393	3975	1069
394	3985	1059
395	4001	1050
396	4032	1046
397	4053	1038
398	4076	1031
399	4089	1022
400	4099	1012
401	4106	1000
402	4112	989
403	4123	979
404	4130	968
405	4137	958
406	4146	947
407	4156	937
408	4163	926
409	4171	915
410	4179	904
411	4272	912
412	4291	903
413	4301	893
414	4309	882
415	4318	871
416	4330	861
417	4337	850
418	4344	839
419	4355	829
420	4364	818
421	4371	808
422	4381	797
423	4388	786
424	4395	775
425	4401	764
426	4408	753
427	4418	743
428	4426	732
429	4434	721
430	4441	710
431	4450	700
432	4458	689
433	4468	679
434	4476	668
435	4487	658
436	4498	648
437	4507	638
438	4518	627
439	4529	617
440	4535	606
441	4542	596
442	4556	586
443	4565	575
444	4572	565
445	4582	554
446	4589	544
447	4601	534
448	4618	524
449	4630	514
450	4641	504
451	4654	494
452	4666	484
453	4674	473
454	4683	463
455	4693	452
456	4703	442
457	4717	432
458	4724	421
459	4734	411
460	4742	401
461	4751	390
462	4762	380
463	4770	370
464	4780	359
465	4785	349
466	4793	338
467	4799	328
468	4805	317
469	4813	307
470	4820	296
471	4828	286
472	4835	276
473	4842	265
474	4850	255
475	4858	244
476	4866	234
477	4875	224
478	4884	214
479	4894	203
480	4902	193
481	4913	183
482	4919	173
483	4932	163
484	4939	152
485	4950	142
486	4956	132
487	4966	122
488	4974	111
489	4984	101
490	4991	91
491	4999	81
492	5013	71
493	5020	60
494	5032	50
495	5044	40
496	5052	30
497	5061	20
498	5069	10
499	5080	0
