iter	Passed	Remaining
407	6524	9467
408	6559	9478
409	6572	9457
410	6588	9441
411	6598	9417
412	6605	9388
413	6620	9370
414	6632	9349
415	6653	9340
416	6675	9332
417	6705	9335
418	6714	9310
419	6730	9294
420	6746	9278
421	6763	9263
422	6779	9248
423	6795	9231
424	6812	9217
425	6826	9197
426	6841	9181
427	6858	9166
428	6885	9164
429	6903	9151
430	6925	9143
431	6938	9123
432	6952	9104
433	6967	9086
434	6980	9066
435	6992	9045
436	7000	9019
437	7016	9002
438	7024	8976
439	7035	8954
440	7050	8937
441	7057	8909
442	7071	8891
443	7083	8870
444	7094	8847
445	7111	8833
446	7127	8817
447	7140	8797
448	7152	8777
449	7164	8756
450	7179	8739
451	7193	8720
452	7205	8701
453	7216	8679
454	7228	8658
455	7245	8643
456	7251	8615
457	7266	8598
458	7279	8579
459	7291	8559
460	7308	8544
461	7330	8535
462	7354	8530
463	7371	8515
464	7379	8489
465	7387	8465
466	7406	8453
467	7428	8444
468	7443	8427
469	7457	8409
470	7470	8390
471	7487	8376
472	7545	8406
473	7553	8382
474	7558	8353
475	7568	8331
476	7579	8310
477	7587	8286
478	7596	8262
479	7614	8249
480	7629	8232
481	7637	8207
482	7649	8187
483	7661	8167
484	7670	8145
485	7682	8124
486	7693	8104
487	7706	8085
488	7718	8065
489	7726	8041
490	7740	8024
491	7748	8000
492	7759	7980
493	7770	7959
494	7784	7941
495	7795	7921
496	7806	7900
497	7816	7879
498	7828	7859
499	7840	7840
500	7850	7819
501	7860	7797
502	7872	7778
503	7883	7758
504	7894	7738
505	7909	7721
506	7920	7701
507	7935	7685
508	7944	7663
509	7956	7644
510	7970	7627
511	7983	7609
512	7997	7592
513	8014	7577
514	8029	7561
515	8040	7542
516	8054	7524
517	8065	7504
518	8075	7483
519	8086	7464
520	8097	7444
521	8108	7425
522	8115	7401
523	8129	7385
524	8141	7366
525	8151	7345
526	8162	7326
527	8172	7305
528	8184	7287
529	8196	7268
530	8206	7248
531	8216	7228
532	8229	7210
533	8237	7188
534	8247	7168
535	8257	7148
536	8268	7128
537	8279	7109
538	8292	7092
539	8302	7072
540	8310	7050
541	8325	7035
542	8337	7016
543	8352	7001
544	8371	6989
545	8385	6972
546	8399	6956
547	8412	6938
548	8422	6919
549	8430	6897
550	8444	6881
551	8461	6866
552	8474	6850
553	8513	6853
554	8542	6849
555	8555	6832
556	8566	6813
557	8576	6793
558	8585	6773
559	8596	6754
560	8609	6737
561	8620	6718
562	8627	6696
563	8638	6677
564	8648	6658
565	8659	6640
566	8669	6620
567	8681	6603
568	8693	6585
569	8707	6568
570	8714	6547
571	8728	6530
572	8739	6512
573	8756	6498
574	8767	6480
575	8778	6462
576	8791	6445
577	8803	6427
578	8815	6409
579	8823	6389
580	8835	6371
581	8839	6348
582	8847	6328
583	8856	6309
584	8868	6291
585	8879	6273
586	8891	6255
587	8908	6241
588	8922	6226
589	8934	6208
590	8950	6193
591	8963	6177
592	8969	6155
593	8984	6140
594	8999	6125
595	9016	6111
596	9028	6094
597	9042	6078
598	9053	6061
599	9070	6047
600	9085	6031
601	9097	6014
602	9111	5998
603	9122	5980
604	9132	5962
605	9143	5944
606	9150	5924
607	9161	5906
608	9172	5889
609	9183	5871
610	9193	5853
611	9205	5835
612	9215	5817
613	9225	5799
614	9238	5783
615	9252	5767
616	9261	5748
617	9271	5730
618	9283	5714
619	9292	5695
620	9300	5676
621	9312	5659
622	9323	5642
623	9337	5626
624	9347	5608
625	9359	5591
626	9369	5574
627	9384	5558
628	9399	5543
629	9406	5524
630	9423	5510
631	9439	5496
632	9454	5481
633	9479	5472
634	9517	5470
635	9561	5472
636	9573	5455
637	9584	5437
638	9593	5419
639	9604	5402
640	9616	5385
641	9628	5369
642	9635	5349
643	9647	5333
644	9655	5314
645	9665	5296
646	9676	5279
647	9682	5259
648	9691	5241
649	9704	5225
650	9709	5205
651	9722	5189
652	9734	5172
653	9746	5156
654	9758	5139
655	9771	5123
656	9784	5108
657	9802	5094
658	9823	5083
659	9841	5069
660	9857	5055
661	9873	5041
662	9888	5026
663	9901	5010
664	9917	4995
665	9927	4978
666	9937	4961
667	9948	4944
668	9959	4927
669	9969	4910
670	9982	4894
671	9996	4879
672	10006	4862
673	10017	4845
674	10030	4829
675	10038	4811
676	10048	4794
677	10058	4777
678	10067	4759
679	10078	4743
680	10090	4726
681	10101	4710
682	10108	4691
683	10122	4676
684	10127	4657
685	10138	4640
686	10148	4623
687	10165	4609
688	10179	4594
689	10195	4580
690	10208	4564
691	10220	4548
692	10231	4532
693	10242	4515
694	10273	4508
695	10293	4495
696	10312	4482
697	10320	4465
698	10333	4449
699	10349	4435
700	10362	4419
701	10379	4405
702	10400	4393
703	10415	4379
704	10435	4366
705	10446	4350
706	10525	4361
707	10536	4345
708	10545	4328
709	10561	4313
710	10572	4297
711	10582	4280
712	10593	4264
713	10604	4247
714	10613	4230
715	10624	4214
716	10638	4198
717	10650	4183
718	10665	4168
719	10673	4150
720	10685	4134
721	10698	4119
722	10710	4103
723	10717	4085
724	10728	4069
725	10739	4053
726	10752	4037
727	10766	4022
728	10772	4004
729	10790	3991
730	10802	3975
731	10813	3958
732	10829	3944
733	10842	3929
734	10857	3914
735	10876	3901
736	10884	3884
737	10896	3868
738	10909	3853
739	10918	3836
740	10931	3820
741	10940	3804
742	10951	3788
743	10962	3772
744	10975	3756
745	10987	3741
746	10998	3725
747	11008	3708
748	11021	3693
749	11032	3677
750	11041	3660
751	11051	3644
752	11062	3628
753	11077	3614
754	11087	3597
755	11100	3582
756	11112	3567
757	11122	3550
758	11136	3536
759	11146	3519
760	11157	3504
761	11174	3490
762	11189	3475
763	11200	3459
764	11215	3445
765	11231	3430
766	11244	3415
767	11252	3399
768	11262	3382
769	11273	3367
770	11286	3352
771	11292	3334
772	11309	3321
773	11317	3304
774	11330	3289
775	11342	3274
776	11358	3259
777	11374	3245
778	11387	3230
779	11399	3215
780	11407	3198
781	11420	3183
782	11432	3168
783	11449	3154
784	11517	3154
785	11538	3141
786	11560	3128
787	11577	3114
788	11596	3101
789	11608	3085
790	11619	3070
791	11629	3054
792	11643	3039
793	11655	3023
794	11664	3007
795	11679	2993
796	11688	2977
797	11697	2961
798	11707	2945
799	11715	2928
800	11726	2913
801	11739	2898
802	11748	2882
803	11758	2866
804	11767	2850
805	11780	2835
806	11791	2819
807	11799	2803
808	11810	2788
809	11818	2772
810	11829	2756
811	11842	2741
812	11851	2725
813	11864	2710
814	11874	2695
815	11888	2680
816	11900	2665
817	11916	2651
818	11929	2636
819	11951	2623
820	11971	2610
821	11980	2594
822	11995	2579
823	12006	2564
824	12018	2549
825	12028	2533
826	12038	2518
827	12049	2502
828	12055	2486
829	12066	2471
830	12078	2456
831	12087	2440
832	12098	2425
833	12110	2410
834	12123	2395
835	12135	2380
836	12147	2365
837	12155	2349
838	12166	2334
839	12172	2318
840	12185	2303
841	12199	2289
842	12215	2275
843	12230	2260
844	12243	2245
845	12251	2230
846	12260	2214
847	12279	2201
848	12284	2184
849	12299	2170
850	12315	2156
851	12330	2141
852	12350	2128
853	12363	2113
854	12369	2097
855	12382	2083
856	12393	2068
857	12421	2055
858	12443	2042
859	12465	2029
860	12477	2014
861	12503	2001
862	12557	1993
863	12568	1978
864	12585	1964
865	12599	1949
866	12612	1934
867	12629	1920
868	12645	1906
869	12656	1891
870	12664	1875
871	12675	1860
872	12682	1845
873	12692	1829
874	12703	1814
875	12712	1799
876	12726	1784
877	12738	1770
878	12752	1755
879	12765	1740
880	12773	1725
881	12779	1709
882	12792	1695
883	12803	1680
884	12808	1664
885	12815	1649
886	12827	1634
887	12837	1619
888	12848	1604
889	12860	1589
890	12869	1574
891	12889	1560
892	12899	1545
893	12917	1531
894	12926	1516
895	12934	1501
896	12956	1487
897	12970	1473
898	12984	1458
899	13002	1444
900	13016	1430
901	13027	1415
902	13039	1400
903	13050	1385
904	13054	1370
905	13068	1355
906	13081	1341
907	13090	1326
908	13102	1311
909	13115	1297
910	13128	1282
911	13141	1268
912	13153	1253
913	13164	1238
914	13175	1223
915	13185	1209
916	13196	1194
917	13207	1179
918	13220	1165
919	13235	1150
920	13248	1136
921	13263	1122
922	13276	1107
923	13291	1093
924	13313	1079
925	13331	1065
926	13345	1050
927	13363	1036
928	13382	1022
929	13396	1008
930	13407	993
931	13423	979
932	13431	964
933	13443	949
934	13460	935
935	13477	921
936	13503	907
937	13567	896
938	13579	882
939	13589	867
940	13601	852
941	13612	838
942	13624	823
943	13638	809
944	13654	794
945	13667	780
946	13683	765
947	13697	751
948	13707	736
949	13719	722
950	13734	707
951	13747	693
952	13770	679
953	13782	664
954	13792	649
955	13808	635
956	13822	621
957	13832	606
958	13843	591
959	13856	577
960	13865	562
961	13876	548
962	13886	533
963	13897	519
964	13907	504
965	13920	489
966	13932	475
967	13943	460
968	13956	446
969	13971	432
970	13983	417
971	13996	403
972	14003	388
973	14017	374
974	14040	360
975	14056	345
976	14073	331
977	14085	316
978	14107	302
979	14123	288
980	14134	273
981	14144	259
982	14157	244
983	14169	230
984	14184	216
985	14199	201
986	14218	187
987	14231	172
988	14245	158
989	14254	143
990	14263	129
991	14275	115
992	14284	100
993	14296	86
994	14305	71
995	14317	57
996	14327	43
997	14341	28
998	14353	14
999	14368	0
