iter	RMSE
0	0.4905595426
1	0.4843672358
2	0.4786799311
3	0.4736135123
4	0.4687288028
5	0.4643499952
6	0.4605041687
7	0.4570177821
8	0.4540142562
9	0.4512141681
10	0.4485987461
11	0.4462007225
12	0.4442258309
13	0.4418862517
14	0.4395863905
15	0.437654206
16	0.4357370092
17	0.4340886386
18	0.4322803757
19	0.4307709614
20	0.4295613773
21	0.4283068887
22	0.4269794139
23	0.4259137147
24	0.4250417466
25	0.4237303113
26	0.4228008023
27	0.4217369614
28	0.4207950192
29	0.419769201
30	0.4192557256
31	0.4184145542
32	0.4175894477
33	0.4168005647
34	0.415998754
35	0.4152403571
36	0.4147262765
37	0.414100007
38	0.4136012491
39	0.4129590032
40	0.4121884039
41	0.4117482175
42	0.4110596305
43	0.4105273858
44	0.4100982434
45	0.409800835
46	0.4094291672
47	0.4090041646
48	0.4085183551
49	0.408210922
50	0.4077656951
51	0.4075028423
52	0.4070062803
53	0.4065916981
54	0.406450226
55	0.4061012044
56	0.4057132506
57	0.4055546389
58	0.4051097968
59	0.4049871745
60	0.4046573966
61	0.4043188446
62	0.4040427874
63	0.4037494406
64	0.4035170762
65	0.4032772404
66	0.4029982068
67	0.4027328987
68	0.4025834905
69	0.4023439276
70	0.4021647753
71	0.4019143786
72	0.4016411156
73	0.4014444803
74	0.4012834436
75	0.4008576059
76	0.4007637587
77	0.4005202927
78	0.4002154675
79	0.3997779556
80	0.3995239846
81	0.3994176966
82	0.3991971604
83	0.3990500469
84	0.398911992
85	0.3987668963
86	0.3985093422
87	0.3982964936
88	0.3981479661
89	0.3979481023
90	0.3977983632
91	0.3977144529
92	0.3975929421
93	0.3975457469
94	0.3972746963
95	0.3971660247
96	0.3970475411
97	0.3969324107
98	0.396724303
99	0.3965596338
100	0.3964615304
101	0.3963856661
102	0.3961572533
103	0.396046024
104	0.3958648242
105	0.3957138021
106	0.3955963467
107	0.3954058152
108	0.3953642644
109	0.3952354081
110	0.3950038601
111	0.3948742537
112	0.3947718034
113	0.3945651969
114	0.3945027602
115	0.3943173422
116	0.3941995691
117	0.3940826907
118	0.3938675966
119	0.3937667362
120	0.3936316864
121	0.3935228715
122	0.3934507012
123	0.3933993328
124	0.3933138634
125	0.3933135625
126	0.3932519191
127	0.3930984862
128	0.3929679654
129	0.3929074766
130	0.3928509597
131	0.3927410052
132	0.3926342424
133	0.3925124889
134	0.3923500548
135	0.3922236671
136	0.3919964785
137	0.3917980493
138	0.3917180454
139	0.3916447167
140	0.3916097427
141	0.3914500989
142	0.3913579029
143	0.3911278956
144	0.3909624488
145	0.3909161653
146	0.3906104463
147	0.3906100165
148	0.3904632166
149	0.3904395668
150	0.3903287485
151	0.3902587068
152	0.39010899
153	0.3900415862
154	0.3899072843
155	0.389767342
156	0.3896833004
157	0.3896117439
158	0.3894021981
159	0.3893108562
160	0.3891921246
161	0.3890601657
162	0.3888925816
163	0.3887725176
164	0.3885402456
165	0.3883734183
166	0.3882794142
167	0.3881225319
168	0.3879785384
169	0.3879281101
170	0.3877368355
171	0.3874420017
172	0.3873151357
173	0.387245287
174	0.3871528067
175	0.3870636612
176	0.3869670916
177	0.3868563843
178	0.3867472446
179	0.386553243
180	0.3864769818
181	0.3863842206
182	0.3862075596
183	0.3860781993
184	0.3860020688
185	0.3857796373
186	0.3857173904
187	0.3855916862
188	0.3854912323
189	0.3853386839
190	0.3851548388
191	0.3850072655
192	0.3848960174
193	0.3846609126
194	0.3845556371
195	0.3844973108
196	0.3844533298
197	0.3843170511
198	0.3841181081
199	0.3840189848
200	0.3839229891
201	0.3838045686
202	0.3836583905
203	0.3835778621
204	0.3835279843
205	0.3834261268
206	0.3831876621
207	0.3830621645
208	0.3828271065
209	0.3827501968
210	0.3825768423
211	0.3824765732
212	0.3823683243
213	0.3821775437
214	0.3820805365
215	0.381994938
216	0.3818632686
217	0.3817592757
218	0.3815785617
219	0.3815083637
220	0.3813778969
221	0.3813263625
222	0.3812979697
223	0.3812468639
224	0.3811570176
225	0.3810697451
226	0.3810426837
227	0.3810222981
228	0.3808775847
229	0.3808292402
230	0.380792354
231	0.3806598424
232	0.380641906
233	0.3805777696
234	0.380534333
235	0.3804576103
236	0.380334716
237	0.3802907269
238	0.3801349488
239	0.3801113903
240	0.3799523537
241	0.3798630547
242	0.3797798446
243	0.379530489
244	0.379396332
245	0.3792385604
246	0.3791980982
247	0.3791607155
248	0.379011904
249	0.3789588147
250	0.3788895095
251	0.378819699
252	0.378646223
253	0.3785511975
254	0.3784238772
255	0.378281165
256	0.3782652017
257	0.3781363694
258	0.3780103745
259	0.3780033867
260	0.3779308611
261	0.377888614
262	0.3777954359
263	0.3777112698
264	0.3776378334
265	0.3775847264
266	0.3774768505
267	0.3773419992
268	0.3772410827
269	0.3771039021
270	0.3770582767
271	0.3769987859
272	0.3769375942
273	0.3767436456
274	0.3766095456
275	0.3765961019
276	0.3765534142
277	0.3765233861
278	0.3764816868
279	0.3764714014
280	0.3763929409
281	0.3763475502
282	0.3762951017
283	0.3761597353
284	0.3760130122
285	0.3759682193
286	0.3759090861
287	0.3758808927
288	0.3758208481
289	0.3757197099
290	0.3756286139
291	0.3755457145
292	0.3754318552
293	0.3753579997
294	0.3752656138
295	0.3752135257
296	0.3751912951
297	0.3751182395
298	0.3750433008
299	0.3749149584
300	0.3748566898
301	0.3748203233
302	0.374706667
303	0.3747002653
304	0.3746212799
305	0.3745313917
306	0.3744378436
307	0.3743648442
308	0.3742634835
309	0.3741165242
310	0.3740306893
311	0.3739892783
312	0.3739333098
313	0.373890031
314	0.3738477631
315	0.3737684642
316	0.3736897495
317	0.3736238671
318	0.3735891146
319	0.3734276955
320	0.3733041528
321	0.3731506248
322	0.3730795071
323	0.372937747
324	0.3728007805
325	0.3726807429
326	0.3726509062
327	0.3724931518
328	0.3724016152
329	0.3723381165
330	0.3723082672
331	0.3723054301
332	0.3721480613
333	0.3721174258
334	0.3720898988
335	0.3720828438
336	0.3719481166
337	0.3718333524
338	0.3717274073
339	0.3716305443
340	0.3715842371
341	0.3715811703
342	0.371416445
343	0.3713293247
344	0.3711969265
345	0.3711912529
346	0.3711300719
347	0.3711002764
348	0.3710874898
349	0.370977572
350	0.3709044961
351	0.3707559304
352	0.3706454209
353	0.3705597031
354	0.3704586863
355	0.3703924716
356	0.3702728145
357	0.3702334628
358	0.3700767663
359	0.369997226
360	0.3699086885
361	0.3698739275
362	0.3697405336
363	0.369671251
364	0.3695863819
365	0.3695561505
366	0.3694375927
367	0.3692665503
368	0.3691660209
369	0.3691565354
370	0.3690294326
371	0.368942154
372	0.3689364556
373	0.3688017269
374	0.3685994122
375	0.3685510908
376	0.3685068823
377	0.3684112759
378	0.3682354891
379	0.3681772757
380	0.3680527974
381	0.3680371802
382	0.3679399282
383	0.3678894144
384	0.3678232933
385	0.3677534053
386	0.3677171265
387	0.3675989747
388	0.367596033
389	0.367555748
390	0.3674117059
391	0.3673804614
392	0.3672986687
393	0.3671727017
394	0.3670314662
395	0.3669947914
396	0.3669308582
397	0.3668900111
398	0.3667980626
399	0.36670328
400	0.366640135
401	0.366636425
402	0.3665792451
403	0.3663960491
404	0.3663095463
405	0.3662569237
406	0.3662337835
407	0.3661280918
408	0.366000588
409	0.3659098037
410	0.3658195899
411	0.3657266447
412	0.3656378654
413	0.3654199001
414	0.3653458462
415	0.3652522017
416	0.3650534932
417	0.3649144996
418	0.3648656596
419	0.3647851477
420	0.3647609149
421	0.3647583106
422	0.3646207034
423	0.3645557848
424	0.3644546141
425	0.3644186744
426	0.3643087389
427	0.3642046232
428	0.3640821618
429	0.3639626007
430	0.3638837244
431	0.3638034054
432	0.363748822
433	0.363728466
434	0.3636917425
435	0.3636209996
436	0.3635968364
437	0.3634761323
438	0.3633786993
439	0.3633276789
440	0.3632622949
441	0.3632374017
442	0.3631686429
443	0.3631352962
444	0.3630204698
445	0.3629257834
446	0.362797718
447	0.3627443544
448	0.3627040017
449	0.3626274513
450	0.3625325863
451	0.362331575
452	0.362329172
453	0.3622591687
454	0.3622110904
455	0.3621264135
456	0.3620518994
457	0.3620423126
458	0.3619978882
459	0.3618748721
460	0.3618074753
461	0.3617412308
462	0.3616937231
463	0.361629104
464	0.3615959808
465	0.3615181315
466	0.3613982698
467	0.361360855
468	0.3612974612
469	0.3612421835
470	0.3611645177
471	0.3610778671
472	0.3610756309
473	0.361022111
474	0.3608713071
475	0.3608254289
476	0.3607492051
477	0.360659051
478	0.3605312689
479	0.360392871
480	0.3603923369
481	0.3602982456
482	0.3601896534
483	0.3601870207
484	0.3600767955
485	0.3600379225
486	0.3599217344
487	0.3598615781
488	0.3598039662
489	0.3597498241
490	0.3596746408
491	0.3596313868
492	0.3595501981
493	0.3595019675
494	0.359393117
495	0.3593195209
496	0.3591929569
497	0.3591068994
498	0.3589958978
499	0.3589457628
500	0.3588852735
501	0.3588475219
502	0.3588219116
503	0.3587758515
504	0.3586622385
505	0.3586437779
506	0.358523009
507	0.3584186112
508	0.3582851644
509	0.3581898338
510	0.3580196772
511	0.3579683852
512	0.3578686674
513	0.3578542697
514	0.3578308852
515	0.3577622589
516	0.3576438467
517	0.3575978929
518	0.3574845741
519	0.3573699768
520	0.3573038627
521	0.3571671879
522	0.3571096477
523	0.3570815654
524	0.3569607689
525	0.356859035
526	0.356857109
527	0.3568160384
528	0.3567455225
529	0.3566707024
530	0.3565934193
531	0.3564925396
532	0.3563425339
533	0.3563154898
534	0.3562368434
535	0.356125386
536	0.3560024801
537	0.3559715166
538	0.3559368391
539	0.3558672447
540	0.3558422725
541	0.3558015849
542	0.3557229426
543	0.3556362083
544	0.3555289422
545	0.3554771319
546	0.3554652273
547	0.3554471349
548	0.3554159839
549	0.3553514387
550	0.3552799851
551	0.3552771833
552	0.3552487419
553	0.3551757247
554	0.3551101078
555	0.355094583
556	0.3550817716
557	0.3550564085
558	0.3549817676
559	0.3549793029
560	0.3548543197
561	0.354740996
562	0.3546767945
563	0.3546301354
564	0.354583577
565	0.3545701009
566	0.3544812219
567	0.3543619908
568	0.3543176969
569	0.3542953219
570	0.354115441
571	0.354028745
572	0.3540249388
573	0.3539174351
574	0.3538698584
575	0.3537856647
576	0.3537485542
577	0.3536475335
578	0.3535197973
579	0.3534736814
580	0.3533843533
581	0.3533584551
582	0.3533273429
583	0.3532468881
584	0.3530833186
585	0.3529882053
586	0.3529369173
587	0.3529172398
588	0.3528279768
589	0.3526915399
590	0.3526287652
591	0.3525611935
592	0.3524546557
593	0.3524346074
594	0.3523711689
595	0.3523274343
596	0.3522703913
597	0.3522256878
598	0.3521245404
599	0.3520351832
600	0.3519600053
601	0.3518860718
602	0.3517467335
603	0.351733599
604	0.3516034513
605	0.3515126312
606	0.3514783392
607	0.3514246002
608	0.3513737345
609	0.3512922116
610	0.3511805685
611	0.3509931853
612	0.3509318973
613	0.3508601934
614	0.3508188042
615	0.3507941759
616	0.3506714911
617	0.3505394666
618	0.350503245
619	0.3504558318
620	0.3504472465
621	0.3503827952
622	0.3503163074
623	0.3502839914
624	0.3502349926
625	0.3501766075
626	0.3501388314
627	0.3501132941
628	0.3500874844
629	0.3499699285
630	0.3499346114
631	0.3498740324
632	0.3498272336
633	0.3497166684
634	0.3496462895
635	0.3495410519
636	0.3494701833
637	0.3493586706
638	0.3493109481
639	0.3492391765
640	0.3491543079
641	0.3489681902
642	0.3488749342
643	0.3488234438
644	0.3487634374
645	0.3485933513
646	0.3485436365
647	0.3484853442
648	0.348385589
649	0.3483502027
650	0.3483212909
651	0.3483089704
652	0.3481562765
653	0.3481437479
654	0.3481099067
655	0.3480858273
656	0.3479915561
657	0.347944613
658	0.3479002892
659	0.3478572326
660	0.3477732477
661	0.3477397344
662	0.3477155757
663	0.3476796549
664	0.3476607998
665	0.347637579
666	0.347601521
667	0.3475619104
668	0.3474748935
669	0.3473703352
670	0.3472990681
671	0.3472480861
672	0.3472011722
673	0.3471808277
674	0.3470848072
675	0.3470164754
676	0.3468995789
677	0.3467931381
678	0.3467108121
679	0.3466502019
680	0.3465908519
681	0.3465236067
682	0.3463965198
683	0.346367943
684	0.3462957094
685	0.3462630867
686	0.3462566448
687	0.3462446815
688	0.3461700514
689	0.3461101618
690	0.3459739881
691	0.345878054
692	0.3458045755
693	0.3457926766
694	0.345772982
695	0.3456531315
696	0.3455949689
697	0.3454647299
698	0.345366066
699	0.3453116298
700	0.3452318328
701	0.3451700784
702	0.3451264934
703	0.3450969738
704	0.345057871
705	0.3450176811
