Date,ADM,CL,GIS,SJM,WOOF
2000-01-03,10.884353637695312,31.125,17.21875,19.125,
2000-01-04,10.770975112915039,30.3125,16.90625,18.875,
2000-01-05,10.600907325744629,29.28125,16.8125,18.75,
2000-01-06,10.65759563446045,29.21875,16.78125,19.125,
2000-01-07,10.827664375305176,30.96875,16.8125,19.25,
2000-01-10,10.827664375305176,31.8125,16.46875,19.0,
2000-01-11,10.65759563446045,31.96875,16.6875,19.0,
2000-01-12,10.94104290008545,32.1875,16.65625,19.125,
2000-01-13,10.884353637695312,32.40625,16.71875,19.125,
2000-01-14,11.337867736816406,31.65625,16.34375,19.25,
2000-01-18,11.84807300567627,31.5,16.5,19.25,
2000-01-19,12.131519317626953,30.75,16.34375,19.5,
2000-01-20,11.84807300567627,30.96875,16.0625,19.25,
2000-01-21,11.791382789611816,30.65625,15.75,19.125,
2000-01-24,11.22449016571045,30.34375,15.59375,18.625,
2000-01-25,11.11111068725586,29.8125,15.09375,18.375,
2000-01-26,11.054422378540039,30.09375,15.5,18.625,
2000-01-27,10.884353637695312,30.15625,15.1875,18.375,
2000-01-28,10.714285850524902,29.75,15.125,18.125,
2000-01-31,10.65759563446045,29.625,15.59375,17.5,
2000-02-01,10.884353637695312,29.8125,15.125,17.5,
2000-02-02,10.65759563446045,30.65625,15.0625,17.5,
2000-02-03,10.65759563446045,30.0,15.3125,17.5,
2000-02-04,10.65759563446045,28.125,15.1875,17.75,
2000-02-07,10.65759563446045,28.1875,15.28125,18.125,
2000-02-08,10.600907325744629,29.34375,15.40625,18.125,
2000-02-09,10.204081535339355,29.09375,15.25,18.375,
2000-02-10,9.920635223388672,28.75,15.03125,17.875,
2000-02-11,9.920635223388672,27.9375,15.21875,17.375,
2000-02-14,10.090703010559082,27.0,15.5,17.25,
2000-02-15,10.147392272949219,27.84375,16.21875,17.875,
2000-02-16,10.260770797729492,27.6875,16.03125,18.0,
2000-02-17,10.374150276184082,26.96875,16.1875,18.25,
2000-02-18,10.374150276184082,26.53125,16.03125,17.25,
2000-02-22,10.374150276184082,26.1875,16.71875,16.875,
2000-02-23,10.034013748168945,25.6875,16.71875,17.125,
2000-02-24,9.977323532104492,24.53125,16.5625,17.125,
2000-02-25,9.693878173828125,24.125,16.5,17.0,
2000-02-28,9.580498695373535,25.5,16.46875,17.125,
2000-02-29,9.126983642578125,26.09375,16.46875,17.125,
2000-03-01,9.353740692138672,26.5,16.59375,17.0,
2000-03-02,9.013605117797852,26.3125,16.09375,17.0,
2000-03-03,9.410430908203125,27.4375,16.1875,17.0,
2000-03-06,8.956915855407715,26.40625,15.875,16.625,
2000-03-07,8.673468589782715,23.375,15.5,16.375,
2000-03-08,8.730158805847168,21.96875,15.6875,16.625,
2000-03-09,8.616780281066895,22.0,15.78125,16.75,
2000-03-10,8.730158805847168,21.375,15.6875,16.625,
2000-03-13,8.616780281066895,21.6875,15.5,16.625,
2000-03-14,8.219955444335938,21.59375,15.3125,16.625,
2000-03-15,8.390023231506348,25.90625,16.375,16.625,
2000-03-16,9.297052383422852,25.625,17.59375,16.875,
2000-03-17,9.580498695373535,24.96875,17.25,16.375,
2000-03-20,9.297052383422852,25.125,17.40625,16.5,
2000-03-21,9.297052383422852,25.15625,17.375,16.5,
2000-03-22,9.523810386657715,25.28125,17.34375,16.0,
2000-03-23,9.580498695373535,26.5625,17.46875,15.625,
2000-03-24,9.297052383422852,27.1875,17.125,15.125,
2000-03-27,9.297052383422852,27.09375,17.0625,15.25,
2000-03-28,9.070295333862305,28.4375,17.15625,15.0,
2000-03-29,9.126983642578125,28.21875,17.40625,15.375,
2000-03-30,9.410430908203125,28.09375,17.9375,17.0,
2000-03-31,9.353740692138672,28.1875,18.09375,18.0,
2000-04-03,9.523810386657715,30.25,17.90625,17.875,
2000-04-04,9.580498695373535,30.34375,18.5,17.75,
2000-04-05,9.637187957763672,29.21875,18.25,17.125,
2000-04-06,9.750567436218262,29.5,18.03125,17.0,
2000-04-07,9.523810386657715,29.65625,17.6875,17.0,
2000-04-10,10.090703010559082,30.125,17.53125,16.5,
2000-04-11,9.977323532104492,31.3125,17.8125,16.5,
2000-04-12,9.863945960998535,31.0,18.25,16.5,
2000-04-13,10.034013748168945,29.5,18.53125,16.375,
2000-04-14,9.410430908203125,27.875,18.09375,16.0,
2000-04-17,9.580498695373535,28.8125,18.34375,16.125,
2000-04-18,9.126983642578125,27.625,18.0625,15.5,
2000-04-19,9.070295333862305,27.84375,18.03125,16.0,
2000-04-20,8.843537330627441,28.5625,18.09375,16.0,
2000-04-24,9.013605117797852,29.3125,18.40625,16.0,
2000-04-25,8.900226593017578,29.59375,19.0,16.875,
2000-04-26,8.956915855407715,28.84375,18.875,16.25,
2000-04-27,9.013605117797852,29.34375,18.5625,15.875,
2000-04-28,9.013605117797852,28.5625,18.1875,16.0,
2000-05-01,9.297052383422852,27.5625,18.21875,16.0,
2000-05-02,9.353740692138672,28.0625,18.125,16.0,
2000-05-03,9.240363121032715,27.75,18.9375,16.0,
2000-05-04,9.013605117797852,27.96875,19.03125,17.875,
2000-05-05,9.126983642578125,28.5625,19.03125,16.625,
2000-05-08,9.240363121032715,28.8125,19.09375,16.5,
2000-05-09,9.183672904968262,29.5,19.125,16.625,
2000-05-10,9.353740692138672,29.09375,19.125,16.5,
2000-05-11,9.523810386657715,30.09375,19.21875,16.5,
2000-05-12,9.467120170593262,29.421875,19.21875,16.625,
2000-05-15,9.523810386657715,29.625,19.25,16.625,
2000-05-16,9.467120170593262,29.03125,19.34375,17.5,
2000-05-17,9.637187957763672,29.28125,19.53125,17.125,
2000-05-18,9.637187957763672,29.53125,19.4375,17.0,
2000-05-19,9.523810386657715,28.46875,19.90625,17.375,
2000-05-22,10.090703010559082,28.28125,19.8125,17.125,
2000-05-23,9.863945960998535,27.96875,19.8125,17.125,
2000-05-24,10.65759563446045,28.3125,20.03125,18.25,
2000-05-25,10.884353637695312,28.0,19.90625,18.0,
2000-05-26,10.827664375305176,27.875,20.5,18.0,
2000-05-30,10.997732162475586,27.0625,20.3125,17.875,
2000-05-31,10.827664375305176,26.3125,19.84375,17.625,
2000-06-01,11.11111068725586,26.65625,19.8125,17.875,
2000-06-02,10.884353637695312,27.25,19.78125,18.125,
2000-06-05,10.770975112915039,26.53125,19.375,17.75,
2000-06-06,10.374150276184082,27.28125,19.875,17.5,
2000-06-07,10.827664375305176,28.5,20.0,17.875,
2000-06-08,10.827664375305176,28.25,19.71875,17.75,
2000-06-09,10.430838584899902,28.4375,19.46875,17.625,
2000-06-12,10.090703010559082,28.71875,19.8125,17.5,
2000-06-13,9.977323532104492,27.78125,20.0,17.625,
2000-06-14,9.693878173828125,28.5625,20.125,17.375,
2000-06-15,9.580498695373535,29.25,20.0,17.625,
2000-06-16,9.467120170593262,28.9375,19.34375,17.5,
2000-06-19,9.183672904968262,28.8125,19.3125,17.75,
2000-06-20,9.126983642578125,28.6875,19.09375,17.375,
2000-06-21,9.070295333862305,28.5,18.90625,17.5,
2000-06-22,8.956915855407715,28.0,18.96875,17.375,
2000-06-23,8.956915855407715,27.78125,18.9375,17.375,
2000-06-26,9.240363121032715,28.25,19.15625,17.75,
2000-06-27,9.126983642578125,28.46875,19.3125,18.0,
2000-06-28,9.084466934204102,28.3046875,19.328125,18.375,
2000-06-29,9.070295333862305,28.375,19.3125,18.625,
2000-06-30,8.900226593017578,29.9375,19.125,19.25,
2000-07-03,9.070295333862305,29.9375,19.09375,19.375,
2000-07-05,9.070295333862305,29.65625,19.34375,19.25,
2000-07-06,8.956915855407715,29.40625,19.125,18.375,
2000-07-07,9.467120170593262,28.59375,18.96875,18.75,
2000-07-10,9.353740692138672,27.84375,18.5,18.75,
2000-07-11,9.750567436218262,27.3125,18.40625,18.375,
2000-07-12,9.693878173828125,26.5,18.375,18.375,
2000-07-13,9.353740692138672,26.53125,18.5,18.125,
2000-07-14,9.467120170593262,27.125,18.15625,18.125,
2000-07-17,9.070295333862305,27.46875,17.5,18.125,
2000-07-18,9.013605117797852,27.46875,17.4375,18.125,
2000-07-19,9.013605117797852,27.25,17.5,18.0,
2000-07-20,8.956915855407715,27.6875,17.625,18.25,
2000-07-21,8.730158805847168,28.3125,17.65625,18.0,
2000-07-24,8.786848068237305,28.0,17.4375,17.875,
2000-07-25,8.843537330627441,28.15625,17.5,17.875,
2000-07-26,8.673468589782715,27.78125,17.328125,18.0,
2000-07-27,8.786848068237305,28.1875,17.375,18.0,
2000-07-28,8.673468589782715,28.0,17.40625,18.0,
2000-07-31,8.503400802612305,27.84375,17.1875,18.0,
2000-08-01,8.900226593017578,28.4375,17.3125,18.0,
2000-08-02,9.070295333862305,28.28125,17.4375,18.25,
2000-08-03,9.013605117797852,28.1875,17.59375,18.375,
2000-08-04,9.013605117797852,27.5,17.375,18.5,
2000-08-07,8.900226593017578,26.78125,17.375,18.25,
2000-08-08,8.900226593017578,26.4375,17.28125,18.375,
2000-08-09,8.616780281066895,26.0625,17.125,18.5,
2000-08-10,8.673468589782715,26.8125,17.40625,18.25,
2000-08-11,8.616780281066895,26.6875,17.40625,18.625,
2000-08-14,8.503400802612305,26.96875,17.375,18.625,
2000-08-15,8.616780281066895,27.0,17.25,18.125,
2000-08-16,8.616780281066895,26.9375,16.9375,18.125,
2000-08-17,8.503400802612305,26.375,16.71875,18.5,
2000-08-18,8.560091018676758,26.1875,16.59375,18.5,
2000-08-21,8.730158805847168,26.34375,16.46875,18.5,
2000-08-22,8.616780281066895,25.46875,16.25,18.5,
2000-08-23,8.616780281066895,26.53125,16.59375,18.375,
2000-08-24,8.630951881408691,26.40625,16.40625,19.0,
2000-08-25,8.5119047164917,26.5,16.15625,19.25,
2000-08-28,8.333333015441895,26.3125,16.375,18.5,
2000-08-29,8.333333015441895,25.90625,16.125,18.5,
2000-08-30,8.154762268066406,25.6875,16.03125,18.625,
2000-08-31,8.407737731933594,25.46875,16.0703125,19.1875,
2000-09-01,8.333333015441895,25.90625,15.9375,19.875,
2000-09-05,8.333333015441895,26.0625,15.84375,20.375,
2000-09-06,8.333333015441895,27.3125,15.9375,21.5,
2000-09-07,8.39285659790039,26.65625,16.0,22.3125,
2000-09-08,8.333333015441895,27.03125,16.09375,21.5,
2000-09-11,8.333333015441895,27.5,15.875,21.5625,
2000-09-12,8.39285659790039,27.8125,16.25,22.8125,
2000-09-13,8.452381134033203,28.09375,16.40625,22.25,
2000-09-14,8.39285659790039,23.71875,16.21875,22.0,
2000-09-15,8.5119047164917,23.28125,16.40625,22.0,
2000-09-18,8.39285659790039,22.25,16.28125,22.3125,
2000-09-19,8.333333015441895,22.25,16.3125,22.4375,
2000-09-20,8.035714149475098,21.53125,16.46875,22.625,
2000-09-21,8.095237731933594,21.9375,16.78125,22.5,
2000-09-22,8.095237731933594,22.53125,17.21875,23.3125,
2000-09-25,7.9166669845581055,22.274999618530273,17.0,23.4375,
2000-09-26,8.035714149475098,22.594999313354492,17.40625,22.9375,
2000-09-27,8.214285850524902,22.25,17.75,23.625,
2000-09-28,7.976190090179443,23.559999465942383,17.90625,24.3125,
2000-09-29,8.214285850524902,23.600000381469727,17.75,24.3125,
2000-10-02,8.690476417541504,23.489999771118164,17.8125,24.4375,
2000-10-03,8.690476417541504,23.25,17.875,24.0,
2000-10-04,8.5119047164917,23.46500015258789,18.1875,24.3125,
2000-10-05,8.75,24.80500030517578,18.5,24.5625,
2000-10-06,8.928570747375488,24.9950008392334,18.71875,24.6875,
2000-10-09,8.9880952835083,25.05500030517578,18.5625,24.375,
2000-10-10,9.047618865966797,25.1200008392334,18.78125,24.625,
2000-10-11,9.10714340209961,25.079999923706055,18.84375,24.1875,
2000-10-12,8.809523582458496,24.399999618530273,18.8125,24.1875,
2000-10-13,9.10714340209961,25.209999084472656,18.65625,24.3125,
2000-10-16,9.404762268066406,25.825000762939453,18.65625,24.125,
2000-10-17,9.404762268066406,25.450000762939453,18.4375,23.5,
2000-10-18,9.166666984558105,25.584999084472656,18.5,23.1875,
2000-10-19,9.047618865966797,25.1299991607666,18.90625,23.6875,
2000-10-20,9.166666984558105,25.309999465942383,18.84375,24.125,
2000-10-23,9.166666984558105,24.700000762939453,19.09375,24.0,
2000-10-24,9.464285850524902,26.524999618530273,19.28125,23.5,
2000-10-25,9.880951881408691,27.774999618530273,19.5625,22.375,
2000-10-26,9.940476417541504,27.7549991607666,19.625,21.75,
2000-10-27,10.0,28.809999465942383,19.8125,23.1875,
2000-10-30,10.35714340209961,29.4950008392334,20.5,23.125,
2000-10-31,10.476189613342285,29.3799991607666,20.875,22.25,
2000-11-01,10.595237731933594,28.450000762939453,20.5625,22.375,
2000-11-02,10.416666984558105,29.174999237060547,20.25,22.1875,
2000-11-03,10.297618865966797,29.25,20.15625,22.1875,
2000-11-06,10.35714340209961,28.829999923706055,20.375,22.5625,
2000-11-07,10.416666984558105,29.424999237060547,20.15625,23.1875,
2000-11-08,10.476189613342285,29.344999313354492,20.46875,23.6875,
2000-11-09,10.476189613342285,29.424999237060547,20.375,24.0,
2000-11-10,10.714285850524902,29.7549991607666,20.5,24.625,
2000-11-13,10.952381134033203,29.579999923706055,20.3125,25.0,
2000-11-14,10.89285659790039,29.420000076293945,20.125,25.0,
2000-11-15,11.130951881408691,29.809999465942383,20.1875,25.5625,
2000-11-16,11.071429252624512,29.43000030517578,20.15625,25.8125,
2000-11-17,11.190476417541504,29.524999618530273,20.03125,26.5625,
2000-11-20,11.0119047164917,29.940000534057617,20.1875,26.5625,
2000-11-21,10.89285659790039,29.700000762939453,20.96875,26.5625,
2000-11-22,10.833333015441895,29.600000381469727,21.03125,26.0625,
2000-11-24,10.833333015441895,28.899999618530273,20.625,26.0625,
2000-11-27,11.130951881408691,28.479999542236328,20.6875,25.3125,
2000-11-28,11.190476417541504,29.21500015258789,20.40625,24.5,
2000-11-29,11.309523582458496,29.790000915527344,20.84375,24.5,
