iter	MultiClass
0	0.6684548458
1	0.6484679185
2	0.6319935908
3	0.6183023954
4	0.6075385973
5	0.5967825409
6	0.5883255269
7	0.5799200668
8	0.5733969806
9	0.567066404
10	0.5631168605
11	0.558064219
12	0.5547163205
13	0.5507439457
14	0.547737856
15	0.5443953989
16	0.5411852913
17	0.5383281037
18	0.5349660544
19	0.5333274746
20	0.5308615165
21	0.5279335871
22	0.5257108709
23	0.5243827479
24	0.5226604657
25	0.5202213677
26	0.5188626984
27	0.5169963779
28	0.5159542598
29	0.5143014986
30	0.5128850657
31	0.510622116
32	0.5093634961
33	0.5082953171
34	0.5073149789
35	0.5058470766
36	0.5055255658
37	0.5045490415
38	0.5036107959
39	0.5023012593
40	0.5015514081
41	0.5007383985
42	0.4997085857
43	0.4988463426
44	0.4977401712
45	0.4970881306
46	0.4964504723
47	0.4954021113
48	0.4946060101
49	0.4939670074
50	0.493762158
51	0.4931860478
52	0.4925568598
53	0.4920020563
54	0.4910623515
55	0.4903464875
56	0.4899581364
57	0.4893860396
58	0.4887407959
59	0.4877206663
60	0.487203198
61	0.4867955509
62	0.4857250066
63	0.4851688223
64	0.484838634
65	0.4846207559
66	0.4838821193
67	0.4833748034
68	0.4828408726
69	0.482503985
70	0.4819748846
71	0.48143108
72	0.4808825924
73	0.4802599235
74	0.4795379167
75	0.478994971
76	0.4786697668
77	0.4779445368
78	0.4771622006
79	0.4765887873
80	0.4763386041
81	0.4757317254
82	0.4749958715
83	0.4743025731
84	0.4735301568
85	0.4730383263
86	0.4724504291
87	0.4722477934
88	0.4719162627
89	0.471196947
90	0.4711089793
91	0.4705281792
92	0.4692898157
93	0.4689441495
94	0.4681848883
95	0.4673191385
96	0.4666261578
97	0.4661830689
98	0.4655691502
99	0.4649278243
100	0.464568481
101	0.4637783651
102	0.4631590303
103	0.4625417112
104	0.4622351845
105	0.4614268155
106	0.4606028131
107	0.4598873368
108	0.4594232939
109	0.4589259491
110	0.4585061216
111	0.4578098899
112	0.4574708888
113	0.4564423794
114	0.4559057738
115	0.455095869
116	0.4548772679
117	0.4544644907
118	0.45437596
119	0.4536948406
120	0.4531787411
121	0.452675246
122	0.4521199667
123	0.4513246332
124	0.4505530372
125	0.4498853514
126	0.4493205608
127	0.4487087514
128	0.4481214037
129	0.4474505462
130	0.4469904956
131	0.4463691007
132	0.4454770464
133	0.4446266383
134	0.4442957611
135	0.4435629983
136	0.4431318599
137	0.4427209877
138	0.4420316594
139	0.4417158517
140	0.4413668106
141	0.4409139958
142	0.4403403331
143	0.4395407315
144	0.4391382036
145	0.4385337425
146	0.4379342584
147	0.4373014802
148	0.4367601375
149	0.4361801911
150	0.4355555034
151	0.4353292209
152	0.4343070349
153	0.4339873451
154	0.4336316861
155	0.4330881742
156	0.4326652134
157	0.4318534022
158	0.4311819094
159	0.4307701918
160	0.4301130289
161	0.4297500333
162	0.428713843
163	0.4284322687
164	0.42794233
165	0.4277366156
166	0.4272997327
167	0.4271126379
168	0.4265577608
169	0.4258313845
170	0.4252779801
171	0.4251378548
172	0.4244998903
173	0.4239366919
174	0.4236589057
175	0.4235324228
176	0.4228856509
177	0.422535915
178	0.422019702
179	0.4214859568
180	0.420872986
181	0.420368643
182	0.4196562912
183	0.4189406573
184	0.4183245001
185	0.4180343349
186	0.4177205738
187	0.4172100139
188	0.4169666108
189	0.4165517874
190	0.4163820508
191	0.4157808012
192	0.4153250794
193	0.4151405004
194	0.4144958512
195	0.4141857908
196	0.4137165845
197	0.4133245913
198	0.4129145044
199	0.412553455
200	0.4121251525
201	0.4114691446
202	0.4112400802
203	0.4105559251
204	0.4102819781
205	0.4098810693
206	0.4090764203
207	0.4089012416
208	0.408685615
209	0.4083785134
210	0.4080840487
211	0.4078156555
212	0.4075645846
213	0.4069002365
214	0.4066363453
215	0.4061195643
216	0.4056729038
217	0.4053327424
218	0.4049184159
219	0.4044742587
220	0.4041883031
221	0.4037720309
222	0.4036286908
223	0.403147704
224	0.4026806596
225	0.4021334977
226	0.401641575
227	0.4012921306
228	0.4010777849
229	0.4006413648
230	0.40008435
231	0.3997396075
232	0.3992174406
233	0.3985599438
234	0.398044851
235	0.3977628275
236	0.3974963974
237	0.397016667
238	0.3967732669
239	0.3965016669
240	0.3963488175
241	0.3960103686
242	0.3958797835
243	0.395427325
244	0.3949993867
245	0.3947955333
246	0.3943637794
247	0.3940612449
248	0.3936985606
249	0.3935884294
250	0.3930731859
251	0.3927280176
252	0.3922318151
253	0.3920200893
254	0.3917069274
255	0.3912637587
256	0.3909914453
257	0.3906217394
258	0.3898862103
259	0.3892909035
260	0.3889456542
261	0.3883993517
262	0.3882764467
263	0.3882387458
264	0.3880601079
265	0.3878880115
266	0.3873444867
267	0.3871126254
268	0.38655919
269	0.3862601954
270	0.3859927764
271	0.3857927392
272	0.3856395461
273	0.3851981932
274	0.3848863224
275	0.3846533646
276	0.3844697465
277	0.3841622107
278	0.3838384483
279	0.3833744482
280	0.3831152866
281	0.3825687109
282	0.3823457529
283	0.3821235758
284	0.3815689
285	0.3811103712
286	0.3807245199
287	0.3803943737
288	0.3800216411
289	0.3797607952
290	0.3793960137
291	0.3789822916
292	0.3785741071
293	0.3781821109
294	0.3780237466
295	0.3777440007
296	0.3774689492
297	0.3771572723
298	0.3770630809
299	0.3766034781
300	0.3762649293
301	0.3758332951
302	0.3755322887
303	0.3751045938
304	0.3749369072
305	0.3743636923
306	0.3742213917
307	0.3738954901
308	0.3735784922
309	0.3732926272
310	0.373021026
311	0.3728857687
312	0.3727009641
313	0.3722541547
314	0.3719926015
315	0.3717415228
316	0.3713994837
317	0.3709630985
318	0.3707703897
319	0.3705927584
320	0.370145181
321	0.3697348269
322	0.3693826413
323	0.3693422116
324	0.3691220403
325	0.3690259152
326	0.3685498944
327	0.3679992003
328	0.3674530257
329	0.3670654433
330	0.366501598
331	0.3661494171
332	0.3658009996
333	0.3655179196
334	0.3652369306
335	0.3648436949
336	0.3644110922
337	0.3640316601
338	0.363783442
339	0.3636748688
340	0.3634306789
341	0.362814001
342	0.3624502313
343	0.362359091
344	0.3621297338
345	0.3619113825
346	0.3617130613
347	0.3610044786
348	0.3607382965
349	0.3603123273
350	0.3597222926
351	0.3595058541
352	0.359105191
353	0.3589344106
354	0.3586210593
355	0.3581137963
356	0.3576538017
357	0.3572201509
358	0.3568963207
359	0.3568037405
360	0.3565128965
361	0.3563261789
362	0.3560944109
363	0.3558129091
364	0.3552263625
365	0.354924881
366	0.354702477
367	0.3544552602
368	0.3541170559
369	0.3537227152
370	0.353410666
371	0.3530541775
372	0.3526955174
373	0.3524361923
374	0.3517441009
375	0.351504258
376	0.3513936163
377	0.3506841553
378	0.3502861881
379	0.3498580975
380	0.3496656528
381	0.3491717319
382	0.348954865
383	0.3488728617
384	0.3486538303
385	0.3481436314
386	0.3479696999
387	0.3477079575
388	0.3473516572
389	0.3471171601
390	0.3469697025
391	0.3466933333
392	0.3463978102
393	0.3462297641
