FPR	TPR	Threshold
0	0	1
0	0.0003483106931	0.9910880644
0	0.0006966213863	0.9897244504
0	0.001393242773	0.9886079462
0	0.001741553466	0.9867857052
0	0.002089864159	0.9848887925
0	0.002438174852	0.9839922423
0	0.002786485545	0.9816971363
0	0.003134796238	0.9797411407
0	0.003483106931	0.9786567332
0	0.003831417625	0.9775206327
0.0004286326618	0.003831417625	0.9769082217
0.0004286326618	0.004179728318	0.976465781
0.0004286326618	0.004528039011	0.9753270378
0.0004286326618	0.004876349704	0.9740814946
0.0004286326618	0.005224660397	0.9733775974
0.0004286326618	0.00557297109	0.9730615583
0.0004286326618	0.005921281783	0.97274737
0.0004286326618	0.006269592476	0.9724385048
0.0004286326618	0.00661790317	0.9723195364
0.0004286326618	0.006966213863	0.9720303955
0.0004286326618	0.007314524556	0.9717055274
0.0004286326618	0.007662835249	0.9715580205
0.0004286326618	0.008011145942	0.9712630813
0.0004286326618	0.008359456635	0.9709429959
0.0004286326618	0.008707767328	0.9708230934
0.0004286326618	0.009056078022	0.9706327496
0.0004286326618	0.009404388715	0.9704325939
0.0004286326618	0.009752699408	0.970340398
0.0004286326618	0.0101010101	0.9703222986
0.0004286326618	0.01044932079	0.9703137376
0.0004286326618	0.01079763149	0.9700891268
0.0004286326618	0.01114594218	0.9697042471
0.0004286326618	0.01149425287	0.9693787259
0.0004286326618	0.01184256357	0.9689654645
0.0004286326618	0.01219087426	0.9687040505
0.0004286326618	0.01253918495	0.9686559367
0.0004286326618	0.01288749565	0.9683730436
0.0004286326618	0.01323580634	0.9679649248
0.0004286326618	0.01358411703	0.9676465498
0.0004286326618	0.01393242773	0.9673974275
0.0004286326618	0.01428073842	0.9672650075
0.0004286326618	0.01462904911	0.9668238728
0.0004286326618	0.0149773598	0.9663319332
0.0004286326618	0.0153256705	0.9661507327
0.0004286326618	0.01567398119	0.966051159
0.0004286326618	0.01602229188	0.9652988247
0.0004286326618	0.01637060258	0.9644852367
0.0004286326618	0.01671891327	0.9642188554
0.0004286326618	0.01706722396	0.9639751649
0.0004286326618	0.01741553466	0.963716412
0.0004286326618	0.01776384535	0.9633839958
0.0004286326618	0.01811215604	0.9632003042
0.0004286326618	0.01846046674	0.9630418657
0.0008572653236	0.01846046674	0.962785323
0.0008572653236	0.01880877743	0.9622734399
0.0008572653236	0.01915708812	0.9618898565
0.0008572653236	0.01950539882	0.9618071246
0.0008572653236	0.01985370951	0.9617242026
0.0008572653236	0.0202020202	0.9616831735
0.0008572653236	0.0205503309	0.9614403949
0.0008572653236	0.02089864159	0.9610984283
0.001285897985	0.02089864159	0.9609801231
