iter	Logloss
0	0.6804450163
1	0.670253358
2	0.6611271996
3	0.6532435504
4	0.646584639
5	0.6382129405
6	0.6322787774
7	0.626735686
8	0.6222525547
9	0.6162449299
10	0.6123913566
11	0.6084188462
12	0.6026554341
13	0.5993838183
14	0.5962937657
15	0.5927834803
16	0.5884255023
17	0.5848097437
18	0.5821367949
19	0.579289771
20	0.5766473832
21	0.573374258
22	0.5703084077
23	0.5676967174
24	0.5652536031
25	0.5622323828
26	0.560691728
27	0.5580917546
28	0.5555029895
29	0.5531596797
30	0.5508687591
31	0.5484962197
32	0.5470542318
33	0.5447024814
34	0.5433039656
35	0.5411618048
36	0.5400467263
37	0.5391193805
38	0.537850666
39	0.536220941
40	0.5350211905
41	0.5334668821
42	0.5315559727
43	0.5301860151
44	0.5291242998
45	0.5278299677
46	0.527349773
47	0.5262329367
48	0.5248867784
49	0.5234400907
50	0.521866627
51	0.5206857302
52	0.5194668458
53	0.5184639309
54	0.5178108388
55	0.5168461123
56	0.5156914361
57	0.5150479909
58	0.513973748
59	0.512946159
60	0.5119019628
61	0.511047183
62	0.5099544323
63	0.5089073831
64	0.508071416
65	0.5071882737
66	0.5062419187
67	0.5055543839
68	0.5048939965
69	0.5042390585
70	0.5034280423
71	0.5026736334
72	0.5020040004
73	0.501276007
74	0.5008621307
75	0.5004574917
76	0.4999001834
77	0.4994807898
78	0.4989402246
79	0.4984367315
80	0.4979615042
81	0.4972933666
82	0.4967104368
83	0.4962111092
84	0.4955864595
85	0.4948217624
86	0.4944025283
87	0.4941069217
88	0.493813863
89	0.493006603
90	0.4926857586
91	0.4921301922
92	0.4916336015
93	0.4910368068
94	0.4905686148
95	0.4899677243
96	0.4894423617
97	0.4890255429
98	0.4887846867
99	0.4883062472
100	0.4878761753
101	0.4875241506
102	0.4872973275
103	0.4867592993
104	0.4863401302
105	0.4858807476
106	0.4852818602
107	0.4851355096
108	0.4847374451
109	0.4842699049
110	0.4837799256
111	0.4835001097
112	0.4832378466
113	0.4826962108
114	0.4823233848
115	0.4818186001
116	0.4814195776
117	0.481089442
118	0.4806623073
119	0.4803331764
120	0.4801256984
121	0.4799715973
122	0.4794608447
123	0.4790687371
124	0.4783509093
125	0.4779989449
126	0.4776405729
127	0.4773527049
128	0.4770127151
129	0.4766314197
130	0.4763676035
131	0.4757571527
132	0.4751462541
133	0.474697789
134	0.4740385258
135	0.4736799929
136	0.4732580239
137	0.4727479736
138	0.4725246551
139	0.4722315535
140	0.471960723
141	0.4715333922
