iter	Passed	Remaining
0	11	5806
1	16	4059
2	21	3609
3	31	3886
4	38	3770
5	44	3665
6	50	3536
7	56	3471
8	61	3380
9	70	3432
10	77	3444
11	84	3456
12	90	3401
13	97	3389
14	103	3342
15	109	3324
16	116	3301
17	124	3331
18	134	3405
19	139	3359
20	147	3372
21	151	3282
22	158	3293
23	165	3291
24	174	3312
25	179	3277
26	186	3261
27	195	3299
28	202	3294
29	210	3290
30	216	3269
31	222	3250
32	226	3211
33	233	3200
34	238	3169
35	245	3169
36	250	3140
37	256	3122
38	263	3108
39	269	3097
40	278	3113
41	286	3121
42	296	3152
43	307	3189
44	320	3237
45	325	3212
46	332	3202
47	341	3211
48	346	3192
49	352	3168
50	361	3185
51	368	3174
52	378	3191
53	384	3177
54	394	3195
55	400	3179
56	408	3178
57	415	3167
58	422	3160
59	427	3137
60	461	3320
61	480	3395
62	517	3591
63	521	3550
64	527	3532
65	529	3483
66	533	3447
67	539	3426
68	546	3411
69	553	3400
70	563	3404
71	572	3400
72	576	3370
73	582	3352
74	587	3329
75	593	3312
76	599	3296
77	606	3282
78	613	3270
79	622	3266
80	628	3251
81	638	3253
82	645	3240
83	653	3238
84	659	3220
85	666	3207
86	673	3196
87	679	3182
88	688	3180
89	694	3164
90	701	3151
91	707	3138
92	715	3132
93	725	3134
94	735	3136
95	741	3119
96	751	3122
97	758	3110
98	765	3101
99	775	3102
100	785	3101
101	791	3089
102	801	3091
103	809	3082
104	816	3070
105	823	3061
106	831	3053
107	838	3042
108	844	3030
109	853	3027
110	859	3011
111	865	2996
112	880	3014
113	891	3019
114	901	3019
115	906	3000
116	912	2988
117	919	2975
118	924	2961
119	931	2949
120	938	2939
121	943	2922
122	950	2913
123	957	2903
124	965	2895
125	971	2883
126	977	2871
127	985	2864
128	991	2852
129	998	2840
130	1004	2830
131	1012	2823
132	1022	2822
133	1031	2817
134	1041	2816
135	1050	2812
136	1059	2806
137	1068	2803
138	1075	2794
139	1083	2787
140	1093	2784
141	1104	2785
142	1114	2781
143	1124	2779
144	1135	2780
145	1144	2774
146	1152	2767
147	1160	2759
148	1168	2752
149	1174	2740
150	1181	2731
151	1188	2719
152	1195	2712
153	1204	2707
154	1267	2821
155	1286	2836
156	1299	2838
157	1308	2832
158	1318	2827
159	1325	2817
160	1336	2813
161	1345	2807
162	1353	2798
163	1361	2789
164	1369	2779
165	1390	2798
166	1397	2787
167	1409	2784
168	1418	2777
169	1427	2770
170	1435	2761
171	1443	2752
172	1475	2788
173	1490	2792
174	1504	2794
175	1518	2795
176	1533	2798
177	1550	2804
178	1562	2801
179	1573	2796
180	1581	2788
181	1594	2786
182	1606	2782
183	1615	2774
184	1617	2753
185	1627	2748
186	1637	2740
187	1643	2726
188	1651	2717
189	1658	2706
190	1666	2696
191	1679	2694
192	1686	2681
193	1696	2675
194	1704	2665
195	1712	2656
196	1717	2641
197	1725	2632
198	1731	2619
199	1739	2608
200	1746	2598
201	1754	2588
202	1766	2584
203	1775	2575
204	1781	2563
205	1788	2552
206	1800	2548
207	1809	2539
208	1820	2534
209	1827	2524
210	1834	2512
211	1840	2500
212	1848	2490
213	1855	2479
214	1863	2470
215	1871	2460
216	1879	2451
217	1887	2441
218	1899	2437
219	1912	2433
220	1919	2422
221	1926	2412
222	1933	2402
223	1943	2394
224	1951	2385
225	1959	2376
226	1966	2365
227	1978	2359
228	1984	2348
229	1991	2338
230	1999	2327
231	2006	2318
232	2014	2308
233	2033	2311
234	2041	2302
235	2050	2293
236	2060	2287
237	2071	2280
238	2085	2277
239	2099	2274
240	2106	2263
241	2113	2253
242	2121	2243
243	2129	2233
244	2134	2221
245	2144	2214
246	2153	2205
247	2162	2197
248	2169	2186
249	2177	2177
250	2184	2166
251	2191	2156
252	2197	2145
253	2204	2135
254	2210	2124
255	2222	2117
256	2229	2108
257	2237	2098
258	2244	2088
259	2251	2078
260	2258	2068
261	2265	2058
262	2274	2049
263	2280	2038
264	2287	2028
265	2295	2019
266	2304	2010
267	2311	2000
268	2319	1991
269	2326	1981
270	2335	1973
271	2341	1962
272	2346	1951
273	2353	1941
274	2361	1932
275	2368	1922
276	2376	1912
277	2382	1902
278	2388	1892
279	2395	1882
280	2404	1874
281	2413	1865
282	2422	1857
283	2429	1848
284	2435	1837
285	2442	1827
286	2449	1817
287	2458	1810
288	2487	1816
289	2497	1808
290	2509	1802
291	2516	1792
292	2526	1784
293	2536	1776
294	2544	1767
295	2554	1760
296	2561	1750
297	2571	1743
298	2578	1733
299	2587	1724
300	2596	1716
301	2605	1708
302	2614	1699
303	2625	1692
304	2636	1685
305	2645	1676
306	2654	1668
307	2660	1658
308	2669	1649
309	2679	1642
310	2689	1634
311	2698	1626
312	2708	1618
313	2717	1609
314	2725	1600
315	2732	1591
316	2739	1581
317	2746	1571
318	2754	1563
319	2766	1556
320	2773	1546
321	2779	1536
322	2792	1530
323	2802	1522
324	2811	1513
325	2821	1505
326	2828	1496
327	2840	1489
328	2851	1482
329	2861	1473
330	2873	1466
331	2882	1458
332	2890	1449
333	2900	1441
334	2911	1433
335	2924	1427
336	2935	1419
337	2941	1410
338	2952	1402
339	2958	1392
340	2967	1383
341	2977	1375
342	2987	1367
343	2995	1358
344	3006	1350
345	3014	1341
346	3023	1333
347	3033	1325
348	3042	1316
349	3054	1309
350	3061	1299
351	3071	1291
352	3076	1281
353	3085	1272
354	3097	1265
355	3105	1256
356	3112	1246
357	3119	1237
358	3125	1227
359	3132	1218
360	3140	1209
361	3150	1200
362	3158	1192
363	3168	1183
364	3176	1174
365	3185	1166
366	3193	1157
367	3201	1148
368	3210	1139
369	3216	1130
370	3224	1121
371	3235	1113
372	3242	1103
373	3253	1095
374	3262	1087
375	3269	1078
376	3278	1069
377	3285	1060
378	3292	1051
379	3301	1042
380	3309	1033
381	3319	1025
382	3330	1017
383	3337	1008
384	3348	1000
385	3353	990
386	3364	982
387	3372	973
388	3383	965
389	3391	956
390	3400	948
391	3407	938
392	3419	930
393	3428	922
394	3435	913
395	3443	904
396	3451	895
397	3458	886
