iter	Logloss
0	0.6813150634
1	0.6701839995
2	0.6613817155
3	0.6521034195
4	0.6432651174
5	0.6350161014
6	0.6270266458
7	0.6216564647
8	0.6169337578
9	0.6099391252
10	0.6041533517
11	0.5995430041
12	0.59507905
13	0.5905915357
14	0.5869449409
15	0.5832880266
16	0.5795256565
17	0.5769686556
18	0.5738604392
19	0.5707813157
20	0.5678846186
21	0.565789666
22	0.5628130321
23	0.5606441154
24	0.5579707695
25	0.5556738428
26	0.5536323288
27	0.5522022884
28	0.5501334251
29	0.5488086333
30	0.5470252526
31	0.5447284042
32	0.5432137128
33	0.5408468251
34	0.5388941954
35	0.5371565158
36	0.5347271264
37	0.5330271691
38	0.5318651479
39	0.53017175
40	0.5291863298
41	0.5278519055
42	0.5271109589
43	0.5256992119
44	0.5242712581
45	0.5228837129
46	0.5223599083
47	0.52133936
48	0.5202599854
49	0.5194070984
50	0.518813779
51	0.5173519596
52	0.5161475313
53	0.5151587278
54	0.5140653258
55	0.5129623822
56	0.5121353163
57	0.5113381056
58	0.5105821841
59	0.5095835985
60	0.5084656097
61	0.5074287188
62	0.5067460055
63	0.5066425781
64	0.5059401617
65	0.5058045134
66	0.5055570895
67	0.5050428544
68	0.5043244352
69	0.5035983203
70	0.5029129293
71	0.5020669733
72	0.5019454263
73	0.5015177041
74	0.5008463584
75	0.5000654223
76	0.4992982688
77	0.4988478923
78	0.497991899
79	0.497579501
80	0.4968241438
81	0.4962370633
82	0.4958716332
83	0.495264968
84	0.4946071364
85	0.4941959985
86	0.4937462609
87	0.4931997171
88	0.4926137363
89	0.4920843599
90	0.4916104813
91	0.4912524227
92	0.4908746126
93	0.4902338077
94	0.4898621855
95	0.4891282017
96	0.4887887794
97	0.4882936008
98	0.4879380417
99	0.487572785
100	0.4870508811
101	0.4864952217
102	0.4858866854
103	0.4854527709
104	0.4848421703
105	0.4842440183
106	0.4838324911
107	0.4834087137
108	0.4828446382
109	0.4825465855
110	0.4821870133
111	0.482100948
112	0.4817901001
113	0.4816112451
114	0.4811273969
115	0.4805876847
116	0.4803405019
117	0.4797372239
