iter	Logloss
0	0.6814972974
1	0.6730206968
2	0.6616879782
3	0.651580546
4	0.6441481875
5	0.6365336975
6	0.6305550372
7	0.6237983149
8	0.6172879652
9	0.6117422105
10	0.6066833226
11	0.6019553656
12	0.5966703833
13	0.5923495223
14	0.5878010377
15	0.5836094179
16	0.5791142407
17	0.5761621595
18	0.5731761839
19	0.5698454063
20	0.5671497783
21	0.5642549632
22	0.5615146655
23	0.558461628
24	0.5569761129
25	0.5545391162
26	0.5522857337
27	0.5504355501
28	0.5483377944
29	0.5462494972
30	0.5441899616
31	0.5425681777
32	0.5409151404
33	0.538553143
34	0.536291207
35	0.5352597966
36	0.5336203048
37	0.5320589289
38	0.5308578288
39	0.529213414
40	0.5273323371
41	0.5261761146
42	0.52466438
43	0.5234489899
44	0.5225591793
45	0.5217359681
46	0.5206825606
47	0.519754439
48	0.5186692365
49	0.5177152265
50	0.5164773587
51	0.5154066132
52	0.5140134306
53	0.5127910712
54	0.51188418
55	0.51033076
56	0.5092708006
57	0.5079683726
58	0.5069960225
59	0.5061646424
60	0.505110906
61	0.5039551951
62	0.5027586138
63	0.5022752333
64	0.5014863094
65	0.5003218626
66	0.4993048907
67	0.4985997275
68	0.4977400222
69	0.4968813642
70	0.4962806537
71	0.4958093608
72	0.4953548536
73	0.4947897295
74	0.4943143087
75	0.4938908994
76	0.4930154481
77	0.4921815866
78	0.4912967785
79	0.4907762175
80	0.4900316052
81	0.4892265438
82	0.4886549253
83	0.4880705787
84	0.487553585
85	0.4868921673
86	0.4861657209
87	0.4857652128
88	0.4852800531
89	0.4847744368
90	0.4843766593
91	0.4837587444
92	0.4835536602
93	0.4829384207
94	0.4824489289
95	0.4820778997
96	0.4813166738
97	0.4807519519
98	0.4803640286
99	0.4798413539
100	0.4794751042
101	0.4791335079
102	0.4786387361
103	0.4785134666
104	0.4780617191
105	0.4776837087
106	0.4773733159
107	0.477225777
108	0.4765916939
109	0.4760456769
110	0.4753906975
111	0.4749326903
112	0.4746220277
113	0.4740871801
114	0.4736407879
115	0.4732167047
116	0.4728391441
117	0.4724352126
118	0.4721435607
119	0.4716175315
120	0.4713244093
121	0.4710433597
122	0.4705831888
123	0.4700933069
124	0.4699386727
125	0.4694560556
126	0.469078714
127	0.4687045346
128	0.4683962507
129	0.4681981397
130	0.4678321091
131	0.4674118275
132	0.4669587406
133	0.4665902729
134	0.4661032945
135	0.4657289954
136	0.4654187278
137	0.465102906
138	0.4647396157
139	0.4642400002
140	0.4639981916
141	0.4636192652
142	0.4630932778
143	0.4627879849
144	0.4627162616
145	0.4624746146
146	0.4621445289
147	0.461738773
148	0.461365188
149	0.4609902021
150	0.4605341852
151	0.4600214961
152	0.4595877912
153	0.4593813725
154	0.4592223789
155	0.4589235872
156	0.458677482
157	0.458430301
158	0.4580953241
159	0.4578349761
160	0.4576034577
161	0.4572921004
162	0.4570909217
163	0.4568944721
164	0.4568371213
165	0.4565600823
166	0.4563663361
167	0.4562062732
168	0.4559054583
169	0.4556254519
170	0.4554075665
171	0.4552082622
172	0.4550123565
173	0.4545143738
174	0.4542768943
175	0.4539579169
176	0.4537693885
177	0.4533540226
178	0.4531706112
179	0.4528833617
180	0.4524992935
181	0.4521805543
182	0.4519782077
183	0.4518128098
184	0.4516436436
185	0.4512586047
186	0.4510610126
187	0.450923251
188	0.450697224
189	0.4504129225
190	0.4502551399
191	0.4499025194
192	0.4497269617
193	0.4493927628
194	0.4491589065
195	0.4489959418
196	0.4486145713
197	0.4483988947
198	0.4480487741
199	0.4478391321
200	0.4476918437
201	0.4473134147
202	0.4471209354
203	0.4469043291
204	0.4466849433
205	0.446504471
206	0.4461493981
207	0.4461150799
208	0.4455339875
209	0.4453804805
210	0.4451815359
211	0.4450428506
212	0.4449714374
213	0.444886245
214	0.44466729
215	0.4444400638
216	0.4442466755
217	0.4441152624
218	0.4439384993
219	0.4438526395
220	0.4437026005
221	0.4435178296
222	0.4432927099
223	0.4430837266
224	0.4429777318
225	0.4428371048
226	0.4426611966
227	0.4425686301
228	0.4423474143
229	0.4421487908
230	0.4420200938
231	0.4418901615
232	0.4416690408
233	0.4415211103
234	0.4413332453
235	0.4412314496
236	0.4409476021
237	0.4407929152
238	0.4404027994
239	0.4401743278
240	0.439907953
241	0.4397342605
242	0.4393664434
243	0.4392371809
244	0.4389381504
245	0.4384974552
246	0.4382248069
247	0.4380802987
248	0.4379271574
249	0.4376854363
250	0.4376592269
251	0.4373515675
252	0.4371943514
253	0.4370457317
254	0.4368653798
255	0.4367299358
256	0.4365871081
257	0.4360914619
258	0.4357083744
259	0.4355413613
260	0.4355413548
261	0.4353310145
262	0.435158212
263	0.4350441514
264	0.4346497921
265	0.4345156828
266	0.4342084026
267	0.4341252128
268	0.4337238172
269	0.4335449672
270	0.4334222596
271	0.4331194337
272	0.4328494443
273	0.4327245649
274	0.4324225032
275	0.4319655451
276	0.4318838509
277	0.4317285708
278	0.4314855387
279	0.431263451
280	0.4311753833
281	0.4308058432
282	0.4306399692
283	0.430345367
284	0.430200027
285	0.4301232069
286	0.4300377843
287	0.4297927258
288	0.4297478163
289	0.4294964314
290	0.4292641489
291	0.4290549385
292	0.4288193308
293	0.4287246228
294	0.4283876208
295	0.4279453091
296	0.4275363225
297	0.4273614345
298	0.4271733421
299	0.4269957086
300	0.4266519326
301	0.4264608952
302	0.4261252304
303	0.4259881903
304	0.4258433057
305	0.4257426114
306	0.4255880181
307	0.42548532
308	0.4252405908
309	0.4251329935
310	0.4249367922
311	0.424698079
312	0.4245320854
313	0.4242721441
314	0.4241161619
315	0.4238138693
316	0.4234273419
317	0.42328548
318	0.4231874504
319	0.4229640098
320	0.4229636695
321	0.4226130412
322	0.4222639324
323	0.4221282499
324	0.4219377747
325	0.4217556816
326	0.4216592991
327	0.4215474036
328	0.4213886146
329	0.4212884259
330	0.4211204668
331	0.4210248242
332	0.4207744164
333	0.4206859583
334	0.4205071668
335	0.4202894608
336	0.4201046128
337	0.4197335601
338	0.4194115543
339	0.419163073
340	0.4189717279
341	0.4187643291
342	0.4184684996
343	0.4183389035
344	0.4180810875
345	0.4177967902
346	0.4177694578
347	0.4175788951
348	0.4172345742
349	0.4171933884
350	0.4168202269
351	0.4166878548
352	0.4164468617
353	0.4164233625
354	0.4162552975
355	0.4161198378
356	0.4160731109
357	0.4158571503
358	0.4157289798
359	0.4155265795
360	0.4153157808
361	0.415103298
362	0.4149054215
363	0.4147972139
364	0.414778306
365	0.4145964546
366	0.4145529404
367	0.4143797084
368	0.4143759233
369	0.4142039712
370	0.4139446403
371	0.4137711181
372	0.4137048834
373	0.4135749842
374	0.4133535256
375	0.4131439293
376	0.4130110242
377	0.4128804694
378	0.4127036834
379	0.4125472027
380	0.4123656173
381	0.4120788191
382	0.4120192561
383	0.4117968923
384	0.4117878173
385	0.4116007581
386	0.4115962501
387	0.4115429676
388	0.4113614701
389	0.4112021784
390	0.41101141
391	0.4108217425
392	0.4107008382
393	0.4104666903
394	0.4102311954
395	0.4100288548
396	0.4099508258
397	0.4098054998
398	0.4097252049
399	0.40949977
400	0.4093044747
401	0.4092747758
402	0.40913172
403	0.4091110593
404	0.4089725284
405	0.4088820093
406	0.4088277194
407	0.4085060486
408	0.4083155626
409	0.4081733924
410	0.4079681507
411	0.4078276746
412	0.4077731663
413	0.4076953469
414	0.4074833493
415	0.4072971643
416	0.4072647921
417	0.407096977
418	0.4068821281
419	0.4068706983
420	0.4066119987
421	0.4064163248
422	0.4060929801
423	0.405787265
424	0.4055133804
425	0.4053209549
426	0.4051350348
427	0.4049784784
428	0.4047658211
429	0.4043505733
430	0.404344959
431	0.4041778478
432	0.4040531225
433	0.4039528271
434	0.4039310513
435	0.4038394501
436	0.4035376086
437	0.4035077888
438	0.4031904774
439	0.4030882563
440	0.4030255702
441	0.4029482723
442	0.4027267929
443	0.402524036
444	0.4022438279
445	0.4020835518
446	0.4019626921
447	0.4018239582
448	0.4016240357
449	0.4016075825
450	0.4013241293
451	0.4009765825
452	0.4008220168
453	0.4006917669
454	0.400518048
455	0.4003552427
456	0.4001159295
457	0.3999333485
458	0.3997709282
459	0.399636697
460	0.3994207228
461	0.3992461762
462	0.3990453579
463	0.3989729764
464	0.3989166584
465	0.3987059021
466	0.3986510603
467	0.3984007073
468	0.3982562878
469	0.3982519164
470	0.3982080165
471	0.3981934304
472	0.3980072846
473	0.3978617476
474	0.3978535427
475	0.39765865
476	0.3976024132
477	0.397514421
478	0.3972946163
479	0.3972271448
480	0.3970828961
481	0.3969882068
482	0.3969204544
483	0.3968501742
484	0.3965164539
485	0.3963494889
486	0.3960873932
487	0.3960615497
488	0.3960552221
489	0.395864713
490	0.3957032256
491	0.3955425701
492	0.3952737805
493	0.3950301935
494	0.3948278096
495	0.3946049631
496	0.394365178
497	0.3943624025
498	0.3942290296
499	0.394018234
