iter	Passed	Remaining
0	19	9506
1	26	6542
2	34	5754
3	40	4972
4	52	5175
5	56	4649
6	71	5063
7	84	5175
8	90	4913
9	103	5095
10	114	5103
11	120	4907
12	130	4904
13	136	4737
14	143	4649
15	152	4612
16	161	4581
17	167	4496
18	173	4399
19	182	4389
20	189	4319
21	196	4279
22	203	4213
23	211	4193
24	214	4078
25	220	4019
26	229	4025
27	234	3957
28	240	3911
29	249	3903
30	254	3855
31	264	3870
32	271	3845
33	281	3860
34	287	3815
35	292	3765
36	298	3733
37	303	3690
38	310	3664
39	314	3618
40	322	3611
41	331	3619
42	343	3648
43	356	3691
44	367	3712
45	377	3722
46	382	3688
47	388	3658
48	398	3669
49	404	3639
50	416	3664
51	428	3687
52	435	3669
53	445	3682
54	453	3665
55	463	3673
56	470	3655
57	486	3704
58	498	3725
59	508	3731
60	515	3710
61	522	3688
62	529	3673
63	537	3660
64	543	3634
65	550	3618
66	556	3597
67	565	3591
68	571	3572
69	580	3564
70	588	3554
71	593	3527
72	598	3499
73	604	3477
74	611	3464
75	617	3445
76	624	3433
77	629	3407
78	641	3416
79	650	3417
80	661	3420
81	668	3409
82	677	3404
83	682	3382
84	691	3375
85	698	3360
86	705	3350
87	712	3333
88	718	3319
89	725	3304
90	731	3288
91	739	3278
92	746	3266
93	756	3265
94	765	3264
95	774	3259
96	781	3245
97	792	3249
98	797	3230
99	808	3233
100	816	3225
101	823	3215
102	829	3196
103	832	3171
104	840	3161
105	848	3154
106	856	3145
107	860	3125
108	867	3112
109	874	3100
110	880	3086
111	888	3079
112	894	3062
113	902	3055
114	919	3079
115	925	3064
116	935	3063
117	942	3051
118	948	3038
119	957	3032
120	963	3018
121	970	3007
122	978	2998
123	986	2991
124	992	2978
125	1001	2972
126	1008	2962
127	1014	2948
128	1024	2946
129	1031	2935
130	1039	2926
131	1045	2915
132	1054	2910
133	1062	2903
134	1074	2903
135	1083	2899
136	1090	2888
137	1097	2879
138	1104	2867
139	1109	2852
140	1118	2848
141	1124	2834
142	1130	2821
143	1139	2817
144	1147	2810
145	1155	2800
146	1162	2791
147	1172	2789
148	1180	2781
149	1196	2792
150	1207	2791
151	1218	2790
152	1229	2788
153	1240	2786
154	1249	2780
155	1260	2779
156	1269	2772
157	1278	2766
158	1289	2765
159	1299	2762
160	1309	2757
161	1319	2752
162	1329	2749
163	1336	2739
164	1342	2726
165	1352	2721
166	1358	2709
167	1369	2705
168	1376	2695
169	1386	2690
170	1393	2680
171	1404	2678
172	1414	2674
173	1423	2667
174	1433	2662
175	1438	2647
176	1447	2640
177	1454	2632
178	1464	2625
179	1470	2614
180	1484	2615
181	1493	2609
182	1504	2606
183	1515	2601
184	1522	2592
185	1531	2585
186	1539	2576
187	1548	2569
188	1555	2559
189	1566	2556
190	1576	2549
191	1586	2545
192	1598	2541
193	1608	2536
194	1617	2530
195	1628	2525
196	1635	2515
197	1642	2505
198	1651	2497
199	1661	2492
200	1669	2483
201	1679	2477
202	1687	2469
203	1693	2457
204	1702	2449
205	1709	2440
206	1717	2430
207	1724	2420
208	1732	2411
209	1737	2399
210	1745	2390
211	1752	2380
212	1759	2370
213	1765	2359
214	1773	2350
215	1780	2341
216	1790	2334
217	1797	2325
218	1804	2315
219	1813	2308
220	1824	2302
221	1830	2292
222	1840	2286
223	1846	2274
224	1855	2268
225	1864	2260
226	1870	2248
227	1877	2240
228	1885	2231
229	1890	2219
230	1900	2212
231	1916	2213
232	1923	2204
233	1930	2194
234	1941	2189
235	1946	2177
236	1951	2165
237	1959	2156
238	1965	2146
239	1974	2139
240	1982	2130
241	1991	2122
242	1997	2112
243	2004	2102
244	2011	2093
245	2016	2082
246	2026	2075
247	2032	2065
248	2039	2056
249	2052	2052
250	2062	2045
251	2072	2039
252	2083	2034
253	2097	2031
254	2110	2027
255	2125	2025
256	2137	2021
257	2147	2014
258	2154	2005
259	2160	1994
260	2164	1982
261	2174	1975
262	2185	1969
263	2194	1962
264	2200	1951
265	2208	1942
266	2216	1934
267	2227	1928
268	2234	1919
269	2244	1911
270	2254	1905
271	2261	1895
272	2269	1886
273	2276	1877
274	2283	1868
275	2291	1859
276	2300	1852
277	2308	1843
278	2315	1834
279	2323	1825
280	2330	1815
281	2338	1807
282	2345	1798
283	2353	1789
284	2360	1780
285	2365	1770
286	2372	1760
287	2379	1751
288	2388	1743
289	2396	1735
290	2406	1728
291	2418	1722
292	2429	1716
293	2449	1716
294	2458	1708
295	2467	1700
296	2475	1692
297	2488	1686
298	2495	1677
299	2503	1669
300	2511	1660
301	2522	1653
302	2528	1643
303	2536	1635
304	2545	1627
305	2553	1618
306	2558	1608
307	2566	1599
308	2575	1592
309	2583	1583
310	2591	1574
311	2599	1566
312	2607	1557
313	2614	1548
314	2623	1540
315	2633	1533
316	2639	1523
317	2647	1515
318	2654	1506
319	2662	1497
320	2669	1488
321	2677	1480
322	2687	1472
323	2695	1464
324	2702	1455
325	2710	1446
326	2717	1437
327	2725	1429
328	2733	1420
329	2740	1411
330	2748	1403
331	2755	1394
332	2763	1385
333	2770	1376
334	2776	1367
335	2785	1359
336	2791	1349
337	2797	1341
338	2803	1331
339	2811	1322
340	2820	1315
341	2826	1306
342	2834	1297
343	2841	1288
344	2850	1280
345	2857	1271
346	2867	1264
347	2874	1255
348	2883	1247
349	2890	1238
350	2898	1230
351	2905	1221
352	2924	1217
353	2933	1209
354	2940	1200
355	2949	1193
356	2955	1183
357	2963	1175
358	2971	1167
359	2981	1159
360	2988	1150
361	2994	1141
362	3002	1132
363	3009	1124
364	3020	1117
365	3042	1113
366	3052	1106
367	3064	1099
368	3072	1090
369	3084	1083
370	3093	1075
371	3101	1067
372	3108	1058
373	3117	1050
374	3123	1041
375	3136	1034
376	3150	1027
377	3157	1019
378	3166	1011
379	3173	1002
380	3184	994
381	3192	986
382	3203	978
383	3214	971
384	3222	962
385	3235	955
386	3244	947
387	3255	939
388	3263	931
389	3270	922
390	3280	914
391	3289	906
392	3300	898
393	3305	889
394	3326	884
395	3339	877
396	3350	869
397	3356	860
398	3367	852
399	3374	843
400	3384	835
401	3391	826
402	3403	819
403	3415	811
404	3425	803
405	3433	795
406	3445	787
407	3453	778
408	3463	770
409	3469	761
410	3480	753
411	3487	744
412	3496	736
413	3501	727
414	3509	718
415	3520	710
416	3530	702
417	3542	694
418	3552	686
419	3564	679
420	3572	670
421	3581	662
422	3588	653
423	3597	644
424	3603	635
425	3613	627
426	3619	618
427	3628	610
428	3635	601
429	3642	592
430	3649	584
431	3657	575
432	3666	567
433	3676	559
434	3683	550
435	3692	541
