iter	Passed	Remaining
0	12	6309
1	20	5185
2	29	4822
3	36	4468
4	42	4163
5	48	3999
6	56	3953
7	63	3878
8	71	3877
9	79	3889
10	85	3802
11	95	3887
12	99	3725
13	104	3631
14	113	3660
15	120	3633
16	127	3619
17	133	3583
18	141	3576
19	148	3562
20	154	3521
21	175	3822
22	188	3914
23	192	3822
24	201	3835
25	210	3829
26	216	3794
27	224	3786
28	231	3757
29	235	3692
30	240	3640
31	247	3618
32	255	3612
33	261	3590
34	267	3548
35	274	3540
36	281	3522
37	288	3502
38	292	3458
39	298	3436
40	303	3392
41	312	3407
42	322	3431
43	334	3466
44	344	3481
45	349	3446
46	354	3413
47	361	3407
48	367	3386
49	376	3384
50	378	3333
51	390	3362
52	400	3379
53	408	3371
54	415	3362
55	421	3337
56	427	3324
57	434	3312
58	440	3293
59	447	3284
60	457	3291
61	464	3279
62	470	3265
63	478	3257
64	484	3242
65	490	3228
66	497	3215
67	506	3216
68	514	3211
69	522	3211
70	527	3187
71	533	3172
72	541	3169
73	548	3156
74	554	3141
75	559	3121
76	566	3113
77	574	3105
78	579	3086
79	583	3065
80	590	3056
81	597	3043
82	605	3042
83	612	3035
84	618	3018
85	625	3011
86	632	3000
87	638	2988
88	643	2971
89	649	2960
90	657	2955
91	665	2950
92	672	2943
93	679	2933
94	685	2923
95	688	2896
96	693	2883
97	700	2871
98	706	2861
99	712	2850
100	720	2845
101	726	2835
102	732	2824
103	741	2824
104	748	2814
105	756	2810
106	763	2802
107	772	2803
108	778	2791
109	788	2796
110	794	2784
111	802	2781
112	808	2770
113	815	2760
114	822	2755
115	829	2744
116	837	2742
117	841	2722
118	848	2717
119	855	2708
120	863	2703
121	871	2699
122	878	2693
123	883	2679
124	891	2674
125	899	2669
126	906	2661
127	911	2648
128	919	2645
129	924	2630
130	933	2630
131	941	2624
132	947	2614
133	960	2622
134	968	2619
135	976	2612
136	984	2608
137	991	2601
138	999	2595
139	1005	2586
140	1011	2574
141	1020	2573
142	1027	2565
143	1034	2556
144	1041	2549
145	1045	2535
146	1053	2530
147	1059	2520
148	1068	2516
149	1073	2505
150	1078	2492
151	1087	2490
152	1093	2481
153	1101	2474
154	1106	2463
155	1111	2451
156	1122	2452
157	1131	2449
158	1138	2442
159	1147	2438
160	1157	2436
161	1163	2428
162	1173	2427
163	1183	2423
164	1191	2418
165	1201	2418
166	1211	2415
167	1223	2417
168	1235	2419
169	1242	2412
170	1252	2409
171	1262	2407
172	1270	2401
173	1280	2398
174	1289	2395
175	1298	2390
176	1307	2386
177	1316	2381
178	1325	2377
179	1334	2372
180	1343	2367
181	1352	2362
182	1362	2359
183	1371	2355
184	1381	2352
185	1396	2357
186	1408	2357
187	1420	2357
188	1431	2355
189	1438	2346
190	1448	2343
191	1460	2342
192	1473	2344
193	1488	2347
194	1496	2341
195	1505	2334
196	1514	2329
197	1524	2325
198	1535	2321
199	1544	2317
200	1553	2311
201	1563	2306
202	1572	2300
203	1582	2296
204	1591	2289
205	1598	2280
206	1608	2276
207	1616	2269
208	1625	2263
209	1634	2257
210	1643	2251
211	1651	2243
212	1660	2238
213	1668	2230
214	1675	2221
215	1683	2213
216	1694	2209
217	1704	2204
218	1712	2197
219	1722	2192
220	1728	2182
221	1734	2171
222	1742	2164
223	1750	2156
224	1758	2149
225	1765	2140
226	1774	2134
227	1781	2125
228	1790	2119
229	1796	2109
230	1806	2104
231	1814	2096
232	1821	2087
233	1828	2078
234	1835	2069
235	1841	2060
236	1845	2047
237	1853	2040
238	1861	2032
239	1869	2024
240	1881	2021
241	1887	2012
242	1893	2002
243	1899	1992
244	1908	1986
245	1918	1980
246	1926	1972
247	1935	1966
248	1942	1958
249	1950	1950
250	1957	1941
251	1963	1932
252	1971	1924
253	1977	1915
254	2000	1922
255	2006	1912
256	2013	1903
257	2022	1896
258	2028	1887
259	2038	1881
260	2046	1873
261	2054	1865
262	2060	1856
263	2066	1847
264	2073	1838
265	2082	1831
266	2090	1824
267	2099	1817
268	2103	1806
269	2111	1798
270	2120	1791
271	2127	1783
272	2135	1775
273	2141	1766
274	2150	1759
275	2158	1751
276	2166	1744
277	2175	1736
278	2184	1730
