iter	Logloss
0	0.6811880038
1	0.6708916477
2	0.6624588254
3	0.653560215
4	0.6457524178
5	0.6390455639
6	0.6331578714
7	0.6275497583
8	0.62168685
9	0.6144463098
10	0.6090285015
11	0.6040914772
12	0.5993808972
13	0.5944376782
14	0.5909753386
15	0.5870697119
16	0.5840678542
17	0.581735892
18	0.57785987
19	0.5748603648
20	0.5724151884
21	0.568982234
22	0.5660435568
23	0.5634253983
24	0.5603116296
25	0.5577317504
26	0.5553666346
27	0.5535715917
28	0.551841744
29	0.5501875073
30	0.5481113416
31	0.5465698007
32	0.5450770257
33	0.5434594535
34	0.542216739
35	0.5405937537
36	0.5387795887
37	0.5378294644
38	0.5370259286
39	0.5351819113
40	0.5336331585
41	0.5322255331
42	0.5307154073
43	0.5293579833
44	0.5275006408
45	0.5260648577
46	0.5253428728
47	0.5237937297
48	0.5227062281
49	0.5216460465
50	0.5206472004
51	0.5196676161
52	0.5181950894
53	0.5169697543
54	0.5160309302
55	0.5149714753
56	0.5139789527
57	0.5130985424
58	0.5123594489
59	0.5115322044
60	0.5107297824
61	0.5103915609
62	0.5098134824
63	0.5090802707
64	0.5086144391
65	0.5080156606
66	0.5071090654
67	0.5063033605
68	0.5054689532
69	0.5048002278
70	0.5042689618
71	0.5036508241
72	0.503212541
73	0.5025445651
74	0.50187436
75	0.5011862026
76	0.5005022014
77	0.4998032108
78	0.4992320778
79	0.4985576273
80	0.4979675329
81	0.4975174617
82	0.4972023513
83	0.496478933
84	0.4960370266
85	0.4955147029
86	0.4949775427
87	0.4944499406
88	0.4938377816
89	0.493278057
90	0.4929990328
91	0.4924454101
92	0.4921488806
93	0.4914245826
94	0.4908049521
95	0.4904932654
96	0.4898564556
97	0.4893168721
98	0.4886200978
99	0.4882026051
100	0.4877545779
101	0.487252935
102	0.4868770152
103	0.4862938877
104	0.4859414621
105	0.4852566933
106	0.4847427337
107	0.4840506783
108	0.48352654
109	0.4830807286
110	0.4825495178
111	0.4821426554
112	0.4816935194
113	0.4813655019
114	0.4810291239
115	0.4804827999
116	0.4801305848
117	0.4794364066
118	0.4793734207
119	0.4788119172
120	0.4783624704
121	0.4780178316
122	0.4776315671
123	0.477415852
124	0.4770418722
125	0.476696591
126	0.4764342253
127	0.4760248791
128	0.4756314575
129	0.4755594108
130	0.4752227758
131	0.4748218275
