iter	RMSE
0	0.4911012505
1	0.4850864912
2	0.4796050254
3	0.4746361585
4	0.4698855491
5	0.4655305666
6	0.4617317676
7	0.4580808571
8	0.4546623077
9	0.4516589751
10	0.4492831062
11	0.4468776333
12	0.4444666225
13	0.4422506024
14	0.4400502157
15	0.4382583927
16	0.4365587084
17	0.4353100814
18	0.4338740112
19	0.43232611
20	0.4310379481
21	0.42959752
22	0.4284187306
23	0.4275364159
24	0.4263489005
25	0.4255289787
26	0.4246823592
27	0.4237907486
28	0.4225566786
29	0.4212542881
30	0.4201670227
31	0.4191850723
32	0.4184161354
33	0.417632181
34	0.4166138616
35	0.4158591616
36	0.41489803
37	0.4141102765
38	0.413565497
39	0.4129449711
40	0.412513186
41	0.4118797077
42	0.4111982989
43	0.4109101228
44	0.4105747967
45	0.4100734737
46	0.4096566406
47	0.4092647245
48	0.4088710331
49	0.4083651701
50	0.4080905628
51	0.4076623392
52	0.4073210037
53	0.4071142233
54	0.4068180765
55	0.4065495993
56	0.4062829455
57	0.4059981077
58	0.4055959123
59	0.4051862917
60	0.4048682307
61	0.4046401538
62	0.4043373206
63	0.4039596596
64	0.4036910327
65	0.4035068042
66	0.4031794952
67	0.4028351981
68	0.4025577454
69	0.4022871657
70	0.4021209659
71	0.4019009865
72	0.4016137303
73	0.40141025
74	0.4012639572
75	0.4008272995
76	0.400666256
77	0.4004431599
78	0.4001169271
79	0.3997817501
80	0.399649189
81	0.3994809062
82	0.3991709224
83	0.3991475901
84	0.3989984928
85	0.3988029114
86	0.3986948821
87	0.3986342251
88	0.3983515572
89	0.3982886362
90	0.3981135976
91	0.3980142251
92	0.3978510416
93	0.3976437104
94	0.3973329266
95	0.3970777956
96	0.3969418738
97	0.3965951824
98	0.3964044781
99	0.3964038418
100	0.3962404002
101	0.3959459752
102	0.3956493912
103	0.3954893971
104	0.3953301708
105	0.3952128521
106	0.3949783189
107	0.3949119812
108	0.3949119787
109	0.3948217794
110	0.3947255915
111	0.394666144
112	0.3945093456
113	0.3944788042
114	0.3943279399
115	0.394049815
116	0.3940004837
117	0.3938290744
118	0.3936458751
119	0.3935042865
120	0.3934816517
121	0.3934417372
122	0.3932110173
123	0.3930381986
124	0.3929370174
125	0.3928196718
126	0.392637146
127	0.3925211322
128	0.3923644337
129	0.3922779241
130	0.3921380814
131	0.3919750576
132	0.3919440348
133	0.3917562851
134	0.3916685901
135	0.3916615821
136	0.3915739809
137	0.3914613351
138	0.3914005182
139	0.3913034969
140	0.3913016383
141	0.3911875157
142	0.3911061821
143	0.3910683718
144	0.3909667472
145	0.3907734444
146	0.3905706207
147	0.3903070682
148	0.3901847529
149	0.3900224102
150	0.3899689391
151	0.389918093
152	0.3898229158
153	0.3898150642
154	0.3897218172
155	0.3896116763
156	0.389565748
157	0.3895264667
158	0.3892910161
159	0.3891727725
160	0.3891293664
161	0.3890216764
162	0.3889393082
163	0.3888858833
164	0.3887589405
165	0.3886007749
166	0.3885103297
167	0.3883759184
168	0.3882199118
169	0.3880271327
170	0.3878618263
171	0.3877280115
172	0.3876967231
173	0.387646801
174	0.3875753609
175	0.3874340736
176	0.3871560525
177	0.3869609905
178	0.3867466375
179	0.3866732454
180	0.386452415
181	0.3863325799
